sgrub pa bka' brgyad|huit préceptes transmis (Nyingma)
mngon zhen|les attachements (p80), s'attacher à une réalité, prendre les choses pour réelles
"mnyam bzhag; "|samâhita, rester en contemplation (p39), rester égal en contemplation (p68, 72), l'état d'égale contemplation, (état d')équilibre, reposer en l'égalité
mnyam par bzhag pa|samâhita, rester en contemplation (p39), rester égal en contemplation (p68, 72), l'état d'égale contemplation, (état d')équilibre, reposer en l'égalité
mnyam nyid|égalité
mnyam pa nyid|égalité
mnyam pa nyid kyi ye shes|la prime expérience de l'égalité
mnyam rjes|assise et après l'assise, méditation et post-méditation
mnyam rjes kyi nyams len|la pratique de l'assise et de son après
mos gus|vénération-dévouement (p96), vénération (p98), dévotion (d'abandon dans l'inspiration)
mos pa|vivre (au sens d'expérimenter, ex. les trois portes comme les trois vajras) (p39)
mtha'|conclusion, extrême
mtha' bral|sans nom, libre de déterminations
mtha' 'das|transcendant les limites, au-delà des extrêmes
mtha' 'das pa|transcendant les limites, au-delà des extrêmes
mtha' las 'das pa|transcendant les limites, au-delà des extrêmes
mtha' dbus med pa|sans centre ni périphérie
mtha' dang dbus med|sans centre ni périphérie
mtha' grol|libre de (toute) extrême
mtha' med|sans fin, sans limite, sans limitation
mtha' rten bzhi|les quatre consolidations (n298) : 1. les trois immobilités, 2. les trois repos à demeure, 3. les trois obtentions, 4. les quatre confiances, quatre assurances
mi 'gul ba gsum|une des quatre consolidations (n298) : 1. les trois immobilités
sdod pa gsum|une des quatre consolidations (n298) : 2. les trois repos à demeure
thob pa gsum|une des quatre consolidations (n298) : 3. les trois obtentions
gding bzhi|une des quatre consolidations (n298) : 4. les quatre confiances, quatre assurances
mthar snang|visions ultimes, luminosités finales
mthar thug don|au sens ultime, la perspective ultime et parfaite, parachèvement de
mthong ba'i byin rlabs|les pouvoirs spirituels visibles (p106), les bénédictions spirituelles visibles
mthong lam|darshanamârga, la voie de la vision
mtshams sbyor|rejoindre (p104), effectuer la jonction (p104)
mtshan|1. nom (hon.), titre, 2. caractéristiques
mtshan bcas|focalisation avec objet (ou caractéristiques)
mtshan ma|signe distinctif, caractéristique conceptuelle, marque, attribut
mtshan mar 'dzin pa|saisie conceptuelle
mtshan 'dzin|saisie conceptuelle
mtshan med|"1. sans signe distinctif, absence de caractéristique propre, aconceptuel ; 2. focalisation sans objet"
mtshan ma med pa|"1. sans signe distinctif, absence de caractéristique propre, aconceptuel ; 2. focalisation sans objet"
mtshan nyid med pa|"1. sans signe distinctif, absence de caractéristique propre, aconceptuel ; 2. focalisation sans objet"
mtshan bral|"1. sans signe distinctif, absence de caractéristique propre, aconceptuel ; 2. focalisation sans objet"
mtshan nyid|caractéristique même, caractère définitif de, définition, caractéristique en soi, caractéristique propre
mtshan nyid theg pa|véhicule des caractéristiques (syn. Sûtrayâna)
mtshang yod|être lourd de conséquences (p108)
mu khyud can gyi thig le|tiglés à bordures (p88)
mu mtha' med pa|sans limite
mu stegs pa|hérétiques (se réfère aux hindouïstes, litt. 'ceux qui soutiennent des (vues) extrêmes'), extrémistes, non-bouddhistes
mu stegs rtag lta ba|la vue éternaliste des hérétiques (hindouïstes)
mun khang|cellule obscure (p98, n268)
myang 'das|nirvâna, passer au-delà de la souffrance, l'au-delà des peines
mya ngan 'das pa|nirvâna, passer au-delà de la souffrance, l'au-delà des peines
mya ngan las 'das pa|nirvâna, passer au-delà de la souffrance, l'au-delà des peines
nam mkha'|âkâsha, ciel, espace, l'élément espace
nam mkha' la zur mig hril gyis|devant soi, en une vision panoramique globale de l'espace, (à la hauteur de) l'espace devant l'on contemple avec un regard en coin, les yeux béants (p82)
nang|intérieur, interne
nang dbyings|l'immensité interne (p86)
nang gi dbyings|l'immensité interne (p86)
nang gi bla ma|Lama intérieur
nang gi dbyings rig|intelligence immédiate de l'immensité interne (p83)
nang gsal|luminosité interne, clarté intérieure
nang 'od|lumière interne, lumière intérieure
nang rgyud|tantras intérieurs
nang rtog|pensées internes
nar nar babs pa|s'écouler en un filament (p94)
ngan sngags|mantras méchants
ngan song|mauvaises destinées, renaissances défavorables, mauvaises existences, mauvaises migrations
ngang|état, sphère, (au) sein (de), disposition
ngang bskyangs|cultiver l'état, continuer en l'état, préserver l'état (de)
ngang bzhag chu bo'i rgyun gyi sgom pa|rester en l'état de méditation comme le 'courant d'une rivière' (ou comme le flux du torrent)
ngang bzhag|rester en l'état
ngang la bzhag pa|rester en l'état
ngang chen po|le grand état, état total, immense état
ngang dwangs|état de lucidité, état de transparence (innée)
ngang dvangs|état de lucidité, état de transparence (innée)
ngang gis|en lui-même, naturellement, avec évidence
ngang nas shar|apparaît au sein de
nges don|nitârtha, sens ultime, sens ultime de l'enseignement, vérité absolue ou ultime, sens certain, sens définitif, sens ultime
nges pa'i don|nitârtha, sens ultime, sens ultime de l'enseignement, vérité absolue ou ultime, sens certain, sens définitif, sens ultime
nges med|indéterminé
nges pa med pa|indéterminé
ma nges|indéterminé
ngo bo|svabhâva, état fondamental (p50), existence caractérisée par (p67), être (quelque chose) en soi (p72), essence (p73, 99), en-soi (p73), en soi-même (p76), l'essence (p86)
ngo bo gcig|unique essence, unicité en-soi, singularité d'en-soi, une même essence
ngo bo ka dag|l'en soi alpha pur, essence primordialement pure
ngo bo nyid kyi sku|Svabhavikakâya
ngo bo nyid kyis|en vertu de l'essence en elle-même
ngo bo rang bzhin thugs rje gsum|les trois aspects d'essence, nature et bonté
ngo bo sku|le corps essentiel (p106), le corps d'essence même
ngo bo nyid kyi sku|le corps essentiel (p106), le corps d'essence même
ngo bo stong pa|essence vide (p90), vide d'essence, vide par essence
ngo bos stong|essence vide (p90), vide d'essence, vide par essence
ngo gcer|l'en-soi nu (p71), essence nue
ngo rang thog tu sprad pa|Reconnaissant sa propre nature (1er vers du testament de Garab Dorjé Tshig gsum gnad rdeg) (p69), l'on est introduit directement à sa propre nature
ngo shes pa|reconnaître
ngo sprad pa|reconnaître (p73), l'introduction directe qui fait reconnaître, les introductions directes (qui font reconnaître) (p71, 107, 108), reconnaître l'état (n213), reconnaître sa propre nature (p69), présentation, reconnaître, se reconnaître, rencontrer, se rencontrer (n217)
ngo sprod|reconnaître (p73), l'introduction directe qui fait reconnaître, les introductions directes (qui font reconnaître) (p71, 107, 108), reconnaître l'état (n213), reconnaître sa propre nature (p69), présentation, reconnaître, se reconnaître, rencontrer, se rencontrer (n217)
ngo sprod pa|reconnaître (p73), l'introduction directe qui fait reconnaître, les introductions directes (qui font reconnaître) (p71, 107, 108), reconnaître l'état (n213), reconnaître sa propre nature (p69), présentation, reconnaître, se reconnaître, rencontrer, se rencontrer (n217)
ngo 'phrad pa|reconnaître (p73), l'introduction directe qui fait reconnaître, les introductions directes (qui font reconnaître) (p71, 107, 108), reconnaître l'état (n213), reconnaître sa propre nature (p69), présentation, reconnaître, se reconnaître, rencontrer, se rencontrer (n217)
ngos 'dzin pa|1. (le) reconnaissant, reconnaître (quelque chose) (p72), identifier, 2.saisir comme réel
ngos bzung|1. (le) reconnaissant, reconnaître (quelque chose) (p72), identifier, 2.saisir comme réel
nyag gcig|unicité (p42), unique
nyams|expérience
"nyams gong 'phel gyi snang ba; "|la vision (ou luminosité) de l'amplification de l'expérience (n127), (la vision de) l'amplification de la clarté des expériences (n268, 274), la vision de l'amplification des expériences (n278), la vision du développement des expériences
nyams snang gong 'phel|la vision (ou luminosité) de l'amplification de l'expérience (n127), (la vision de) l'amplification de la clarté des expériences (n268, 274), la vision de l'amplification des expériences (n278), la vision du développement des expériences
nyams gsum|les trois expériences de méditation (félicité, clarté et non pensée)
nyams khrid|instructions sur les expériences (p18), explications sur les expériences, guidance par les expériences, guidance (ou orientation) par l'expérience personnelle, accompagner à travers les expériences
nyams len|pratique
nyams su len pa|pratique
nyams myong|expérimenter
nyams snang|des expériences de clarté (p89)
nyams su len pa|pratiquer, mettre en pratique, cultiver l'expérience, faire la pratique de
nyams len|pratiquer, mettre en pratique, cultiver l'expérience, faire la pratique de
nyams zhen|attachement aux expériences
nyan thos kyi theg pa|véhicule des auditeurs véhicule des shrâvakas
nyan thos pa|auditeur, shrâvaka
nye ma mgul ba nas 'chang ba ltar|semblable à des épis tenus en gerbe, semblable à des épis tenus 'par le col' (n345)
nyi ma|lumière solaire (signe de claire lumière, n238)
nyon mongs pa|passionnel, passions, émotions conflictuelles
nyon mongs pa'i rlung|souffles passionnels
nyon mongs pa'i sgrib pa|le voile des passions
o rgyan|Oddiyâna, 'Aller en volant', 'Parti dans le ciel', 'Aller au-dessus et loin', 'Véhicule pour voler'
'od|la lumière (p86)
'od gdang|éclat lumineux (p90)
'od gsal ba'i ye shes|l'expérience primordiale de claire lumière, la connaissance première (qu'est la) claire lumière, présence d'immédiateté de (ou dans) la claire lumière, intelligence immédiate claire et lumineuse
'od gsal gyi snang ba|les apparences de claire lumière (p87), manifestations de claire lumière
'od gsal rdo rje snying po'i bstan pa|"l'enseignement de la claire lumière qui est l'essence du coeur adamantin; la claire lumière, enseignement de la quintessence de l'indestructible coeur-esprit; la claire lumière, enseignement de la quintessence du coeur-esprit éternel"
'od gsal rgyun chad med pa'i klong du|en la sphère en laquelle la claire lumière n'a de cesse (ou est continue)
'od gsal|claire lumière, clarté, présence lumineuse, lucidité totale (ou absolue)
'od gsal ba|claire lumière, clarté, présence lumineuse, lucidité totale (ou absolue)
'od khyim gyi sgron ma|la luminosité des sphères lumineuses (p83)
'od lnga'i snang ba|l'apparence des cinq lumières (p85), les apparences lumineuses quinticolores (p88)
'od lus|corps de lumière
'od zer|rais de lumière (signe de claire lumière, n238)
'og 'gyu|flux sous-jacent, courant sous-jacent, courant souterrain, flot souterrain, fond mouvant
'og 'gyu 'khrul 'byams|courant souterrain du foisonnement d'illusions habituelles, affluence sous-jacente de la confusion habituelle (ou ordinaire), flot souterrain de la profusion ordinaire des illusions, abondant flux sous-jacent de pensées erronées habituelles, fond mouvant des illusions galopantes, courant sous-jacent des illusions endémiques
'og 'gyu'i rnam rtog|flux sous-jacent du penser duel, fond mouvant du penser duel, courant sous-jacent des conceptions, courant souterrain des pensées discursives, flot souterrain de pensées dualistes
'og min|Akanishtha, le (domaine pur) Sans supérieur, le Plus haut
pha gu|pendentifs (n161)
phags yul|l'Inde, le Noble pays, la terre des  ryas
phan|oriflamme, bannière (n159)
"phar phyin drug; "|les six perfections, les six pâramitâs
pha rol tu phyin pa drug|les six perfections, les six pâramitâs
phar phyin|perfection, pâramitâ
pha rol tu phyin pa|perfection, pâramitâ
phel 'grib med|sans croissance ni décroissance, sans accroissement ni diminution, sans augmentation ni réduction
pho ba|transfert de conscience, transférer
pho ba chen po|le grand transfert
pho 'gyur med pa|immuable (p107), sans transition ni changement
phral gyi bde ba dang yun gyi bde ba la bsam pa|la considération des bonheurs temporaires et du bonheur durable (p26)
phrin las thogs med ye shes|la gnose qui ouvre sans entraves
'phro ba|projections, émissions, diffus, prolixe, éparses, parsemé, éparpillé, répandu, dispersé, dissipé, disséminé, émaner, se diffuser, proliférer, émerger (depuis le fond universel)
phro bsdu|émissions et résorptions (p51)
'phro 'du|émissions et résorptions (p51)
phro can du lus pa|la réalisation (de l'expérience) est inachevée (p106)
phro gcod|interrompre les projections (p79)
phros don|explications complémentaires (p96)
phrul ba|projeter, émaner, projections illusoires
rnam 'phrul|projeter, émaner, projections illusoires
phu kyi sba skor|"spirales d'un bouclier de jonc (p86, n271) ; bouclier de joncs (n271)"
sba phu|"spirales d'un bouclier de jonc (p86, n271) ; bouclier de joncs (n271)"
phun tshogs|sublime, tout parfait, faste
phun sum tshogs pa|sublime, tout parfait, faste
phung po|les constituants de l'expérience cognitive (p92), les constituants (n299)
phyag chen|mahâmudrâ, immense union (n80), la Grande Union
phyag rgya chen po|mahâmudrâ, immense union (n80), la Grande Union
phyag rdor|Vajrapâni, Diamant au Poing, Maître du Diamant
phyag na rdo rje|Vajrapâni, Diamant au Poing, Maître du Diamant
phyag rgya|1. mûdra, geste, symbole, sceau, 2. parèdre, partenaire
phyal ba|omniprésent, ouverture, commun
phyal yas|"ouverture expansive, expansivité ouverte ; expansion dans l'ouvert"
phyal bar yas|"ouverture expansive, expansivité ouverte ; expansion dans l'ouvert"
phyam gdal|équilibre, unité englobante, demeurer en égalité
phyam brdal|équilibre, unité englobante, demeurer en égalité
phyam gnas|d'esprit égal, équilibré, rester en équilibre, avec un esprit d'aplomb, avec un esprit pondéré, demeurer équanime, homogénéité
phyam lhod|équanime et détendu, rester tout équilibré et relaxé, tout d'équilibre dans la relaxation
phyam gnas lhod de|équanime et détendu, rester tout équilibré et relaxé, tout d'équilibre dans la relaxation
phyam me|égal et équanime (p69)
phyam phyal|"ouverture totale, ouverture ; omniprésent, ouverture, commun"
phyal ba|"ouverture totale, ouverture ; omniprésent, ouverture, commun"
phyi|externe, extérieur
phyi dar|la diffusion ultérieure du Dharma (au Tibet), la deuxième diffusion (ou propagation) du Dharma (au Tibet)
phyi nang gzung 'dzin med pa|sans objet extérieur saisi ni sujet intérieur saisisseur, n'impliquant aucune perception d'objet au-dehors ni de sujet au-dedans, n'impliquant aucune saisie duelle extérieur-intérieur, sans saisie sujet-objet dehors ou dedans
phyi nang med pa|sans extérieur ni intérieur, sans dehors ni dedans
phyi nang med par|sans extérieur ni intérieur, sans dehors ni dedans
phyi nang yul sems|objets au-dehors et esprit en-dedans
phyi 'phreng|guirlandes extérieures (p85)
phyi rgyud|tantras externes
phyi snang|apparences externes, perceptions au-dehors
phyi'i bla ma|le Lama extérieur
phyi'i dbyings|l'immensité externe (p83, 86), l'espace externe, la dimension externe
phyogs 'byams|état panoramique
phyogs med|n'est pas défini par des extrêmes, n'a pas de nature spécifique, ne connaît la division (telle que dessus ou dessous), n'implique aucune séparation directionnelle, sans orientation, impartial, sans parti pris, sans préférence
phyogs ris|orientations (p93), tout extrême ou parti pris
phyogs ris med pa|sans orientation partisane, sans position partisane, sans positionnement sectaire
phyogs zhen|ceux qu'attirent les approches inférieures
rab 'bring tha ma|capacités excellentes (ou supérieures, les meilleures), moyennes et inférieures (ou médiocres)
rab 'byams pa|infini, l'immensité de
'byams klas|infini, l'immensité de
rab tu mtho ba'i phur bu|dôme très élevé (n167)
rab tu spros med|(l'initiation) parfaitement non élaborée (p19)
rag pa'i rnam rtog|penser duel grossier, concepts vulgaires, conception superficielle, pensées discursives les plus évidentes, pensées dualistes dites grossières
rang|en soi, auto, son, personnel
rang babs|rester tel quel en l'état naturel (p74), état naturel, laisser tel quel en son état naturel (p31), (abandonné) tel quel (66), rester 'ainsi, tel quel' (p68), laisser en son état naturel (p72), tel quel en l'état naturel (p73, 75), l'état naturel tel que c'est de soi même (p75), tel que ça se présente tout naturellement (p85), être tel quel (p94), la présence d'instantanéité (n317), rester tel quel
rang babs lhug par zhog|demeurer avec douceur en (un état de) relaxation totale, rester avec douceur dans une détente absolue, se laisser choir en soi et y reposer dans la détente
rang byung|naturelle, spontanée
rang byung rig pa|intelligence spontanée
rang byung ye shes|la gnose naturelle (p79), cognition primordiale spontanée, intelligence première naturelle, prime expérience spontanée, expérience première naturelle, connaissance primordiale spontanée, présence d'immédiateté naturelle, connaissance naturelle hors du temps, connaissance (ou présence) intemporelle spontanée, intelligence immédiate spontanée
rang bzhag|établi en soi, demeurer en soi, (re)poser en soi, rester en soi, reposer naturellement,
rang gzhag|établi en soi, demeurer en soi, (re)poser en soi, rester en soi, reposer naturellement,
rang bzhin|svabhâva, nature (p73, 86), l'état présent (p99), la nature des choses, nature intrinsèque (ou inhérente, propre)
rang bzhin gnas pa'i dus|la situation présente (p103)
rang bzhin gsal ba|la clarté naturelle (p90)
rang bzhin gyis 'od gsal|être naturellement claire lumière (p97)
rang bzhin med pa|ineffable par nature, indescriptible par nature, nature inexistante, de nature non existante, sans nature propre
rang bzhin rdzogs pa chen po|la grande perfection naturelle
rang bzhin rnam dag|nature parfaitement pure, parfaitement pur par nature, parfaite pureté naturelle
rang bzhin spros bral|la simplicité naturelle libre de toute élaboration mentale (p19)
rang chas|immanent (p35)
rang chas rang la yod|être présent -  inné - en tant que qualités naturelles
rang dang 'brel ba|connecté (ou associé, lié) avec soi, trouvé en soi
rang dus|(en) le contexte naturel de, en son propre temps, le contexte en-soi
rang gcig pa|unicité en-soi, en-soi unique, singularité d'en-soi
rang gcig pu|unicité en-soi, en-soi unique, singularité d'en-soi
rang gdangs|l'éclat de l'énergie en-soi, la luminosité de l'éclat en-soi, l'énergie en-soi, naturellement radieux, rayonnement inhérent, éclat intrinsèque, éclat (ou rayonnement) inhérent translucide
rang gis rang grol|auto-libéré par soi(-même), auto-libéré en soi
rang gis rang rig pa|intelligence immédiate auto-connaissante
rang gnas chen po|la grande résidence (du dharmakâya) en place d'elle-même (p76)
rang grol|l'auto-libération (p70), libre en soi (p76)
rang gsal|sa propre clarté, lucide d'elle-même, clarté inhérente, luminosité naturelle, naturellement lucide, éclat naturel
rang gzhan gnyis su byung|émergence du moi et de l'autre comme deux
rang la byan tshud pa|expérience personnelle vécue à son propre sujet, la maîtrise obtenue par l'expérience personnelle nous concernant
rang lugs|sa propre tradition
rang ngo bskyang ba|cultiver l'état d'en-soi (p79), continuer en l'état de sa vrai nature, cultiver l'essence-même de, préserver sa propre condition, maintenir (la vision de) sa propre face, cultiver sa vraie nature, préserver son propre visage, cultiver son essence en soi (ou son essence-même)
rang ngo bskyang|cultiver l'état d'en-soi (p79), continuer en l'état de sa vrai nature, cultiver l'essence-même de, préserver sa propre condition, maintenir (la vision de) sa propre face, cultiver sa vraie nature, préserver son propre visage, cultiver son essence en soi (ou son essence-même)
rang ngo rang du phrad pa|reconnaître sa propre nature
rang ngo rang gis shes pa|ma propre face se reconnaît
rang ngo shes pa|expérimenter sa propre face
rang ngo|en soi (p90), l'essence-même de, son essence-même est, sa propre condition, sa propre face, sa vraie nature, son propre visage, son essence en soi, son essence-même
rang gi ngo bo|en soi (p90), l'essence-même de, son essence-même est, sa propre condition, sa propre face, sa vraie nature, son propre visage, son essence en soi, son essence-même
rang ngor rnam dag|l'en-soi parfaitement pur (n341), totalement pur en soi, sa propre nature en soi étant parfaitement pure, parfaitement pur par essence, totalement pur en son essence-même, pur en sa propre nature
rang rgyas gdab pa|application du sceau naturel de
rang rgyud gnyis 'dzin gyi 'ching ba las grol ba|sa propre continuité existentielle libérée des chaînes de la saisie dualiste, son continuum personnel libéré des entraves de la saisie duelle
rang rgyud|sa propre continuité existentielle (p19), son continuum personnel (p107), son propre courant de conscience, son propre courant d'existence
rang gi rgyud|sa propre continuité existentielle (p19), son continuum personnel (p107), son propre courant de conscience, son propre courant d'existence
rang rig rang gsal|l'intelligence qui se comprend en elle-même en sa propre clarté (p54), l'auto intelligence lucide d'elle-même en elle-même (p75)
rang rig|"intelligence en soi (p73), l'auto intelligence (p76), sa propre intelligence en soi ; sa propre intelligence en soi (p69)"
rang gi rig pa|"intelligence en soi (p73), l'auto intelligence (p76), sa propre intelligence en soi ; sa propre intelligence en soi (p69)"
rang rig pa|"intelligence en soi (p73), l'auto intelligence (p76), sa propre intelligence en soi ; sa propre intelligence en soi (p69)"
rang rtsal|potentialités (de mouvements) inhérentes (p74), énergie intrinsèque
rang sangs|pur en soi, naturellement purifié, cristallin en soi
rang sangs rgyas|bouddha par soi (par ses propres forces)
rang sangs rgyas kyi theg pa|véhicule des bouddhas-par-soi
rang sar grol|s'auto libère, se libère en soi, libéré en soi, libéré à sa propre place, libéré en sa propre condition
rang sar zin|rester en soi, rester à sa place (naturelle), demeurer en sa propre condition (originelle), se tenir ferme en, tenir à sa propre place, se tenir en la demeure naturelle
rang sa zin|rester en soi, rester à sa place (naturelle), demeurer en sa propre condition (originelle), se tenir ferme en, tenir à sa propre place, se tenir en la demeure naturelle
rang sor zin|rester en soi, rester à sa place (naturelle), demeurer en sa propre condition (originelle), se tenir ferme en, tenir à sa propre place, se tenir en la demeure naturelle
rang sa gzung|rester en soi, rester à sa place (naturelle), demeurer en sa propre condition (originelle), se tenir ferme en, tenir à sa propre place, se tenir en la demeure naturelle
rang sems|esprit en soi, esprit naturel, son propre esprit
rang gi sems|esprit en soi, esprit naturel, son propre esprit
rang shar|auto-émergence, apparu de soi, émergence spontanée
rang shar rang grol|sur le mode d'auto-émergences, auto-libérées (p70)
rang shes rig pa'i rgyal po|le roi intelligence immédiate qui en soi se connaît
rang snang|notre projection (p98), apparaissant en soi-même (p101), notre propre clarté (p102), l'apparent en soi (p104), mes apparences sont en soi (sans défaut), manifestations naturelles, naturellement apparent (ou manifeste), se manifestant naturellement
rang gi snang ba|notre projection (p98), apparaissant en soi-même (p101), notre propre clarté (p102), l'apparent en soi (p104), mes apparences sont en soi (sans défaut), manifestations naturelles, naturellement apparent (ou manifeste), se manifestant naturellement
rang so bzung ba|l'état - tel qu'il est - s'appréhende (p87)
rang sor klod|laisser se relaxer, se détendre à sa propre place, se relaxer en sa propre condition
rang yin pa|existence en soi, état d'existence en soi
rang yin par ngo shes pa|reconnaître comme existent en soi, reconnaître comme état d'existence en soi
rang zhal mjal ba|rencontrer le visage en soi de, rencontrer la propre face de, voir son propre visage
rdo kra ma shIrsha|pierres marbrées (n164)
rdo rje|vajra, diamant, adamantin, indestructible réalité
rdo rje 'dzin pa chen po|Grand Détenteur du Vajra, Grand Vajradhâra (p8), grand détenteur de l'indestructible réalité
rdo rje gdan|Vajrâsana, Bodhgaya, siège vajra, le Siège de diamant, siège adamantin, trône adamantin (de l'éveil)
rdo rje lu gu rgyud|chaînettes vajra (p84), littéralement 'file de moutons' (n263), 'files de moutons' vajra (p84)
rdo rje sems dpa'|Vajrasattva, l'être adamantin, Vaillant à l'esprit adamantin, Vaillant Esprit Adamantin
rdo rje slob dpon|Vajrâcharya, maître vajra
rdo rje theg pa|Vajrayâna, voie vajra, véhicule adamantin
rdo rje zam pa|le Pont Vajra
rdzogs chen pa|un pratiquant de la grande perfection
rdzogs chen sde gsum|les trois Collections (ou Séries, Catégories) de la grande perfection
rdzogs chen|mahâsandhi, la Grande Perfection
rdzogs pa chen po|mahâsandhi, la Grande Perfection
rdzogs pa|parfait, complet, plein, parachevé
rdzogs rim|phase de perfection, sampannakrama
rdzu 'phrul|riddhi, pouvoirs projectifs miracleux (p104)
rdzun snang|apparences mensongères, perceptions irréelles, perceptions illusoires
re dogs|(les saisies duelles) d'espoirs et de craintes (p93)
rgod pa|agitation
rgya grol rig pa|l'intelligence en soi libre de ses liens, l'intelligence sans entrave
rgya ma chad|sans restriction
rgya mtsho gser gyi nyi ma|l'océan de/du soleil d'or (p97, n330)
rgya yan|sans restriction, librement, sans retenue, relâché
rgya yan du ma shor bar|ne pas laisser l'esprit doucement divaguer (p93)
rgyab yig|écrits qui étayent (un enseignement, une pratique), texte qui sert d'appui, texte complémentaire
rgyal ba|le victorieux, le vainqueur
rgyal ba dgongs brgyud|la transmission par l'esprit de sagesse des vainqueurs, la lignée directe par l'expérience éveillée des bouddhas
rgyal ba rigs lnga|les bouddhas des cinq familles
rgyal po|roi
rgyal po'i gtan srid zin|atteindre (ou gagner, parvenir) le majestueux état de présence authentique
rgyal sras|enfants des vainqueurs, fils des vainqueurs, fils des victorieux, bodhisattvas
rgyal sras kyi spyod pa|la conduite des fils des victorieux, la pratique des bodhisattvas
rgyan|ornement, parure
rgyan gyi 'khor lor shar|émerger comme ornement perpétuel, apparaître comme parure continuelle
rgyang zhags chu'i sgron ma|la lampe d'eau ou luminosité aquatique lointaine (p85), la luminosité aquatique qui voit loin (p97, n330), la luminosité aquatique vue de loin (p97), la luminosité d'eau (de la vision) lointaine (n267, 268)
rgyas gdab pa|l'apposition du sceau (p62), le marquage (des apparences) (p92)
rgyu|cause
rgyu 'bras|les causes et conséquences, causalité
rgyu 'bras kyi las|les causes et conséquences de nos actes (p98), actions karmiques et leurs conséquences, causalité des actes (ou de nos actes)
rgyud|1. tantra, 2. son continuum, continuité existentielle, continuum mental, 3. continuité
rgyud bcu bdun|les 17 Tantras (du Dzogchen Upadesha)
rgyud sde|la section des tantras (les 18 Tantras du Mahâyoga)
rgyud smin|faire mûrir la continuité existentielle (ou son continuum), maturation de notre être
rgyu'i theg pa|véhicule causal
rgyu'i ting nge 'dzin|samâdhi causal
rig|la cognition (p104)
rig cha|du côté de l'intelligence première
rig dang ma rig med pa|n'a rien à voir avec la reconnaissance ou non de l'intelligence immédiate
rig 'dzin brda brgyud|transmission par symboles des détenteurs d'intelligence immédiate, lignée symbolique des vidyâdharas
rig 'dzin|vidyâdhara (p107), détenteur de gnose, détenteur d'intelligence immédiate, détenteur de l'état d'immédiateté
rig pa 'dzin pa|vidyâdhara (p107), détenteur de gnose, détenteur d'intelligence immédiate, détenteur de l'état d'immédiateté
rig ge|vigile et lucide (p70), alerte, alerte et vif
rig gsal|clarté et intelligence immédiate, claire intelligence en soi
rig gsal dbyer med|clarté et intelligence immédiate non deux (ou indissociables, inséparables)
rig ma|parèdre, femme de sagesse
rig ngor|à la lumière de l'intelligence immédiate, en l'intelligence immédiate même
rig pa|"1. vidyâ, auto intelligence (p59, 72, 74, 77), gnose (de non-saisie) (p24), intelligence immédiate (p61), l'intelligence en soi (p21, 67, 69, 77, 98),  l'état d'intelligence première (p68), intelligence immédiate en soi (p86), intelligence (p96), intelligence primordiale, se comprendre ; 2. intelligence"
rig pa dbyings kyi sgron ma|la luminosité de l'immensité d'intelligence en soi (n268)
rig pa gcer bu|"l'intelligence immédiate nue ; auto-intelligence nue (p74)"
rig pa rjen pa|"l'intelligence immédiate nue ; auto-intelligence nue (p74)"
rig pa gcer mthong|nûment voir l'intelligence immédiate, nue vision d'intelligence en soi (ou d'auto-intelligence)
rig pa ngo sprod|introduction directe à l'intelligence immédiate en soi
rig pa rang gnas|auto-intelligence en place d'elle-même, intelligence immédiate demeure en soi
rig pa rang shar|auto-intelligence auto-émergeante, intelligence immédiate apparue de soi, intelligence en soi à l'émergence spontanée
rig pa rang so zin|l'intelligence se comprend en elle-même, l'intelligence se comprenant en soi-même
rig pa tshad pheb kyi snang ba|la vision (ou luminosité) de l'authentique intelligence en soi (n127), (la vision de) l'arrivée à la perfection de l'intelligence immédiate (n268, 274, 283)
rig pa tshad 'phebs kyi snang ba|la vision (ou luminosité) de l'authentique intelligence en soi (n127), (la vision de) l'arrivée à la perfection de l'intelligence immédiate (n268, 274, 283)
rig pa zang ka ma|l'auto-intelligence telle quelle, (n'est) rien d'autre que l'intelligence immédiate, l'intelligence en soi en tant que telle, intelligence immédiate sans obstruction
rig pa zang thal gyi ngang|état d'intelligence immédiate ouverte, transparente et sans entrave, état d'ouverture transparente et sans entrave de l'intelligence en soi
rig pa zang thal|intelligence immédiate ouverte, transparente et sans entrave, ouverture transparente et sans entrave de l'état d'intelligence première (ou en soi), intelligence immédiate directement pénétrante, intelligence en soi transparente, intelligence immédiate toute-pénétrante, intelligence immédiate vigilante et pénétrante, intelligence en soi totalement ouverte, intelligence immédiate transparente et sans entrave, intelligence immédiate toute ouverte
rig pa'i zang thal|intelligence immédiate ouverte, transparente et sans entrave, ouverture transparente et sans entrave de l'état d'intelligence première (ou en soi), intelligence immédiate directement pénétrante, intelligence en soi transparente, intelligence immédiate toute-pénétrante, intelligence immédiate vigilante et pénétrante, intelligence en soi totalement ouverte, intelligence immédiate transparente et sans entrave, intelligence immédiate toute ouverte
rig pa'i gdangs|l'énergie d'intelligence en soi (p42), l'éclat de l'intelligence en soi (p70)
rig gdangs|l'énergie d'intelligence en soi (p42), l'éclat de l'intelligence en soi (p70)
rig pa'i ngang|état d'intelligence immédiate, en l'état de l'intelligence en soi
rig pa'i rang ngo shes pa|reconnaître l'intelligence en soi
