'bras bu| Fruit
sgyu lus|corps illusoire
sgyu lus kyi rnal 'byor|yoga du corps illusoire
sgyu lus kyi steng nas 'pho ba|transfert de conscience qui s'appuie sur le corps illusoire
sgyu lus kyis mngal sgo dgag pa|fermer la porte de la matrice grâce au corps illusoire
sgyu ma|illusion, tromperie, duperie
sgyu ma'i dpe bcu gnyis|douze métaphores de l'illusion
sgyu ma'i dpe brgyad|huit métaphores de l'illusion
sgyu ma'i ting nge 'dzin|recueillement de l'illusion
sha gzugs can|aspect, apparence corporelle
sha za'i skad|langues barbares
sham thabs|jupe monacale
sham thabs kyi gzan|châle recouvrant la jupe monastique
shar grol|émergence-libération
shar gyi ri bo pa|Purvasaila (école)
shes bya|connaissable
shes bya'i sgrib pa|obscurcissement cognitif
shes bzhin|vigilance, claire conscience
shes bzhin gyi stobs|force de la vigilance
shes bzhin ma yin pa|inattention
shes bzod|acquiescement consécutif à la connaissance
shes pa bcu gnyis|les douze traditions du savoir du Bon.
shes pa mig la gtad|placer la conscience dans les yeux
shes par gyur pa'i las|karma apparenté à l'esprit
shes rab|connaissance suprême, discernement
shes rab dbang po|faculté de discerner
shes rab kyi bslab pa|entraînement dans la connaissance suprême ou sagesse
shes rab kyi pha rol tu phyin pa|connaissance transcendante ou prajña
shes rab kyi sgron ma|lampe de la connaissance supérieure
shes rab ma|la partenaire «connaissance suprême»
shes rab ye shes kyi dbang|transmission de la sagesse-connaissance suprême
shes rig ngo bo sing nge ba|essence limpide de la conscience
shi 'pho ba dang skyes ba'i stobs|pouvoir de connaître la mort des êtres et leur renaissance
shi ka ma'i bar do|état intermédiaire du moment de la mort
shi ka'i bar do|état intermédiaire du moment de la mort
shin sbyang|souplesse
shin tu phra ba'i rlung sems|souffle-esprit très subtil
shin tu phra ba'i sems|niveau très subtil de l'esprit
shin tu phra ba'i srog 'dzin gyi rlung|souffle très subtil qui soutient la vie.
shin tu rgyas pa|grands enseignements très détaillés (litt.)
shin tu rnal 'byor|yoga suprême (= rDzogs chen)
shin tu spros med kyi dbang|transmission de pouvoir complètement dénuée d'élaborations
shin tu spros med|complètement dénué d'élaborations
shin tu stong|vide extrême
shog dril|rouleau de parchemin
shog ser|rouleaux jaunes
skad cig|instant indivisible, instant de conscience
skad cig ma'i 'pho ba|transfert de conscience instantané
skad cig rang grol|auto-libération instantanée
skal mnyam gyi rgyu|cause de même série
skor ba|circumambulation
skra bzed|tissu pour le rasage de la tête
sku|corps, dimension
sku gsum|les Trois Corps
sku nges pa|certitude du corps
sku yongs rdzogs cho ga|rite du corps parfaitement accompli
sku'i rdo rje|vajra du corps
sku'i rdo rje ting nge 'dzin|recueillement du vajra du Corps
skyabs|refuge
skyabs 'gro|prise de refuge
skyabs ma nges pa|incertitude quant aux refuges (dans le bar do)
skyabs sbyin gyi phyag rgya|geste de protection contre la peur
skyabs su 'gror 'jug pa|entrer dans la prise de refuge
skye ba|naissance
skye ba|naissance, origine, apparition, source
skye ba sprul sku|émanations qui naissent diversement
skye gnas bar do|état intermédiaire du lieu de naissance
skye gnas bzhi|quatre modes de naissance
skye mched|source de connaissance, bases psycho-sensorielles
skye mched bcu gnyis|douze ayatana
skye mched dgag|obstruction des sphères psycho-sensorielles
skye mched drug|six bases d'activité des sens
skye nas myong 'gyur gyi las|karma à résultat dans la vie suivante
skye shi bar do|état intermédiaire entre la naissance et la mort
skye srid|existence de naissance
skyes bu chen po|grand être
skyes bu'i byed pa'i 'bras bu|résultats causés par des personnes
skyes gnas|matrice, sexe féminin
stu|matrice, sexe féminin
skyes pa sprul sku lam khyer|prendre la naissance pour voie vers le Corps d'apparition
skyes rabs|histoires des naissances successives
skyes tsam nas 'da' ba|ceux qui passent au-delà par le simple fait d'être nés
skyo shas nges 'byung|dégoût et renoncement au sa?sara
slob dpon|maître
slob pa'i zung 'jug|union du débutant
slob pa'i zung 'jug|union de l'apprenti
smad pa|blâme disciplinaire
smig sgyu|mirage
smin byed kyi dbang|transmission de pouvoir qui fait mûrir
smon lam dbang bskur gtad rgya|transmission du mandat spirituel par le pouvoir de l'aspiration
smon lam gsol 'debs|prières d'aspiration
smon lam gyi pha rol tu phyin pa|vou transcendant
smon lam gyis 'pho ba|transfert de conscience par les prières d'aspiration
smon pa'i byang chub sems|bodhicitta d'aspiration
smon pa'i sems bskyed|bodhicitta d'aspiration
sna ba'i dbang po|faculté du nez
sna'i rnam shes|conscience du nez
sna'i skye mched|source du nez
snam sbyar|manteau de moine
snang ba|la vision de l'apparence
snang ba bzhi|quatre visions de thod-rgal
snang ba gong 'phel gyi snang ba|vision de l'intensification des expériences visionnaires
snang ba gsum|les trois visions de la phase de dissolution.
snang ba ma nges pa|incertitude quant aux apparences perçues (dans le bar do)
snang ba thams cad sgyu mar mthong ba|considérer que les apparences sont illusoires
snang ba'i 'char tshul|mode d'émergence d'une vision
snang ba'i 'od gsal|claire lumière apparente
snang ba'i chos|phénomène donné, apparent
snang ba'i thim|dissolution des apparences.
snang bcas kyi rdzogs rim|phase d'achèvement avec apparences
snang gshen gyi theg pa|véhicule gshen du monde apparent (Bon)
snang med kyi rdzogs rim|phase d'achèvement dépourvue d'apparences
snang sems rmi lam du ngo sprad pa|présentation de l'esprit et des apparences comme étant un rêve
snang yul|objet apparent
snga ma'i bag chags|empreintes karmiques du passé
snga' dar|première diffusion du bouddhisme au Tibet
sngags|formule sacrée
sngags kyi 'phreng ba|guirlande du mantra
sngon 'gro|préliminaires
sngon 'gro|pratiques préliminaires
sngon dus kyi srid pa|existence du temps qui précède la mort
sngon dus srid pa'i sha gzugs can|ayant la forme de l'existence «qui précède»
sngon gyi gnas rjes su dran pa|pouvoir de connaître les existences antérieures
sngon gnas rjes dran|pouvoir de connaître les existences antérieures
snod|réceptacle inanimé
snod bcud|monde ("contenant et contenu")
snod kyi skyon gsum|trois défauts du récipient
snod lnga|les cinq organes creux, viscères
snyan par smra ba|paroles agréables
snyems byed kyi bdud|démon de l'arrogance
snyigs ma|impureté
snying ka|cour
snying po|essence, matrice
snying po'i dbyings kyi dkyil 'khor|ma??ala du plan de la matrice
snying rje|compassion
snying rje tshad med|compassion illimitée
snying thig|sphères du cour, goutte essentielle
snyoms 'jug|égalisation méditative
so rtsi|gtor ma spéciales d'offrande à Agni.
so so skye bo nyid|ordinarité de l'être
so so'i skyes bu|êtres ordinaires
so sor brtags 'gog pa|cessation due au discernement
so sor brtags min 'gog pa|cessation qui n'est pas due au discernement
so sor bshags par bya ba|fautes à confesser(4)
so sor nges pa|distinction
so sor rtog pa'i ye shes|sagesse du discernement
so sor sdud pa|retrait individuel
so sor thar pa|libération individuelle
so sor thar pa'i sdom pa|voux de libération individuelle
so sor yang dag rig pa bzhi|quatre parfaites intelligences spécifiques
sor rtog ye shes|sagesse du discernement
sor sdud|convergence individuelle
spang ba|fautes entraînant l'abandon d'objets illicites(30)
spo ba|période de probation
spos bsang|fumigation d'encens.
spros bcas kyi dbang|transmission de pouvoir élaborée
spros bral|libre ou dénué d'élaborations conceptuelles, sans complications
spros med kyi dbang|transmission de pouvoir sans élaboration
spros pa|élaborations mentales, proliférations mentales, pensée construite, fabrications conceptuelles
sprul pa|fantôme, apparition
sprul pa'i 'khor lo|roue d'émanation
sprul pa'i 'khor lo|roue d'apparition du nombril (Tantra)
sprul sku|corps d'apparition
sprul sku'i 'pho ba|transfert de conscience du Corps d'apparition
spyi mtshan|caractéristiques générales, universaux, concepts généraux, réalités d'ordre universel
spyod pa|tempérament, comportement
spyod pa|conduite
spyod pa|activité
spyod rgyud|tantra de la conduite
sra ba|solidité
sras bde ba chen po|fils de grande félicité
sred pa|soif, désir avide
sregs khang|chambre de combustion
srid gshen gyi theg pa|véhicule shen de l'existence
srid gshen gyi theg pa|véhicule gshen de l'existence (Bon)
srid pa|devenir, existence
srid pa bar do|bardo du devenir
srid pa las kyi bar do|état intermédiaire karmique du devenir
srid pa'i 'khor lo|roue de l'existence
srid pa'i bar do|état intermédiaire du devenir
srid pa'i rtse|cime de l'existence
srid pa'i sred pa|soif de l'existence en devenir
srid pa'i yan lag gi bag chags|empreintes des branches du devenir
srin bu me khyer|lucioles ou étincelles
srin po|ogres
srog|principe vital, force vitale
srog 'dzin gyi rlung|souffle qui soutient la vie
srog dang rtsol ba|vitalité et effort
srog gcod|tuer, attenter à la vie
srog gi dbang po|faculté vitale
srog gi rnal 'byor|yoga des souffles vitaux
srog med|les inanimés
srog rlung|souffle vital
srog gi rlung|souffle vital
srog rtsa|canal vital
srog rtsol|tirer avec effort l'énergie vitale
srog snying|"vie du cour", syllabe-germe de la déité
srung ba pa|Avantaka (école)
srung gi 'khor lo|cercle de protection
srung ma|protecteur des enseignements
srung thabs yan lag lnga|cinq moyens de préserver les préceptes de discipline
steng sgo la brten pa'i thabs|méthode qui s'appuie sur les portes supérieures (gtum mo)
stobs kyi pha rol tu phyin pa|force transcendante
stobs lnga|cinq forces
stong cha|l'aspect vide
stong gnyis kyi 'jig rten khams|chiliocosme intermédiaire (1million de mondes)
stong gsal dbyer med|indivisibilité de la vacuité et de la clarté
stong gsum gyi 'jig rten khams|trichiliocosme ou grand univers (1milliard de mondes)
stong nyid bco brgyad|dix-huit vacuités
stong nyid bcu drug|seize vacuités
stong nyid bzhi|quatre vacuités
stong nyid kyi sems|esprit vide
stong nyid nyi shu|vingt vacuités
stong nyid ye shes|sagesse de la vacuité
stong pa|simple vide
stong pa chen po|grand vide
stong pa mchog ldan gyi skyes bu|êtres nobles équipés de la suprême vacuité
stong pa nyid|vacuité
stong pa nyid stong pa nyid|vacuité de la vacuité
stong pa srid pa'i bar do|état intermédiaire du devenir vide
stong pa'i 'od gsal|claire lumière vide
stong pa'i bskal pa|kalpa de vide
stong ra|vide et creux
tha dad med pa'i de bzhin nyid|tathata sans distinctions
tha mal pa'i 'pho ba|transfert de conscience ordinaire
tha snyad|convention, désignation conventionnelle
tha snyad bden pa|réalité conventionnelle
tha snyad gcig pa|Ekavyavaharika (école)
thab bskyed|visualisation du foyer
thabs|moyens habiles, méthode, expédient salvifique
thabs kyi pha rol tu phyin pa|habileté dans les moyens
thabs lam|voie des moyens
thag cig tu chad pa|décision directe et unique dans la certitude
thag gcod pa|décider.
thal 'gyur|réduction par l'absurde
thal mo sbyar|geste d'hommage et de salutation (paumes jointes)
thams cad du 'gro ba'i lam gyi stobs|pouvoir de connaître toutes les voies et leurs buts
thams cad mkhyen|omniscience
thams cad mkhyen pa|omniscient
thams cad stong pa|vide universel
thams cad yod par smra ba|école des pan-réalistes
thar pa|délivrance.
thar pa|libération, émancipation, délivrance
the tshom|doute
theg chen 'od ting nge 'dzin|recueillement lumineux du Mahayana
theg chung|petit véhicule
theg dman|petit véhicule
theg pa|véhicule
theg pa chen po|grand véhicule
theg pa gcig pa|véhicule unique
theg pa gsum|trois véhicules
thig le|1) gouttes essentielles (tantra), 2) sphères lumineuses (rDzogs chen)
thig le nyag gcig|la sphère unique (le Dzogchen)
thig le stong pa'i sgron ma|lampe des disques vides
thig phran|sphérules lumineuses
thim lugs brgyad|huit modes de dissolution des apparences de la Base (rDzogs chen)
thim lugs|mode de dissolution.
tho rang|point du jour.
thob pa|la vision de l'obtention
thob pa|l'acquisition, l'obtention
thod dbyug|bâton à crâne
thod pa|coupe crânienne
thod rgal|franchissement du pic, saut transcendant (rDzogs chen)
thog ma dang mtha' ma med pa stong pa nyid|vacuité de ce qui n'a ni commencement ni fin
thogs bcas kyi bdud|démon des entraves
thogs med kyi bdud|démons sans entraves
thos pa las byung ba'i shes rab|connaissance obtenue par l'écoute de l'enseignement
thos pa'i stobs|force de l'écoute
thub pa drug|les six Muni.
thugs kyi rdo rje|vajra de l'esprit
thugs phyag mtshan cho ga|rite du symbole de l'esprit
thugs rje|grande compassion
thugs rje ma 'gags pa|compassion incessante
thun mong ba'i 'od gsal|claire lumière commune
thun mong gi dngos grub|accomplissements ordinaires
thun mong ma yin pa'i 'chi rtags|signes extraordinaires de la mort
thun mong ma yin pa'i bdag rkyen|condition régente spécifique
thun mong pa'i 'chi rtags|signes ordinaires de la mort
thur sel gyi rlung|souffle qui pousse vers le bas, souffle évacuateur
ting 'dzin bsam gtan gyi bar do|état intermédiaire de l'absorption dans le recueillement méditatif
ting 'dzin dbang po|faculté du recueillement
ting 'dzin sems dpa'|être de recueillement
ting nge 'dzin|recueillement méditatif
ting nge 'dzin bzhi|quatre recueillements du Mahamudra
ting nge 'dzin chen po'i sa|terre du grand recueillement
ting nge 'dzin gsum|trois recueillements du Mahayoga
ting nge 'dzin gyi bar ma do|état intermédiaire du recueillement méditatif
ting nge 'dzin gyi bslab pa|entraînement dans le recueillement méditatif
ting nge 'dzin gyi sems dpa'|l'être de recueillement
tsag li|petite icône portable d'une déité
tsha ba|brûlant
tsha dmyal brgyad|huit enfers chauds
tsha tsha|statuettes moulées d'argile
tshad ma|moyens de connaissance valides
tshad ma'i rigs|raisonnement sur la validité d'un phénomène
tshad med|sans limites
tshad med 'od|Splendeur incommensurable (cosmol.)
tshad med bzhi|(quatre) demeures sublimes (sk.quatre illimités)
tshad med pa'i 'du shes|perceptions incommensurables
tshangs bug|orifice de Brahma
tshe|durée de vie
tshe 'gugs|rappel de la vie
tshe 'pho ba|trépas
tshe dang ldan pa|vénérable
tshe dbang rig 'dzin|vidyadhara qui a pouvoir sur la longévité
tshe grub|rituel de longévité.
tshe lha rnam gsum|trois déités de longévité
tshe sgrub|pratique de longévité
tshig gi dbang|transmission de pouvoir du mot
tshig gi tshogs|groupe de mots
tshig gsum gnad brdegs|frapper le point crucial en trois énoncés (Dzogchen)
tshig rtsub|proférer des paroles blessantes ou grossières
tshigs bcad|stance versifiée
tshogs drug|six consciences (ch. et jap. six voleurs)
tshogs gnyis|accumulation double
tshogs kyi 'khor lo|cercle d'offrandes rassemblées
tshogs kyi 'khor lo'i mchod pa|cercle du festin d'offrande
tshogs lam|voie de l'accumulation
tshogs pa|collection, unité de la communauté, concorde
tshogs spyod rang rgyal|bouddha-par-soi sociable
tshogs spyod rang sangs rgyas|bouddha-par-soi sociable
tshogs zhing|champ de mérites.
tshom bu|ma??ala en faisceaux ou bouquets.
tshor ba|sensation/ ressenti
tshor ba btang snyoms|équanimité de sensation
tshor ba dran pa nyer gzhag|fixation de l'attention sur les sensations
tshul gsum gyi rtags|syllogisme à trois membres
tshul khrims|éthique, discipline morale
tshul khrims dang brtul zhugs mchog 'dzin|surestimation des rites et observances
tshul khrims kyi bslab pa|entraînement à la discipline éthique
tshul khrims kyi pha rol tu phyin pa|discipline ou éthique transcendante
tsi ta sha'i sgron ma|lampe de chair du cour-esprit
ut+pa la|lotus bleu
yan lag bdun pa|offrande en sept branches
yan lag gi rlung lnga|les cinq souffles secondaires
yan lag lnga'i rjes dpag|inférence à cinq membres
yang ba spang ba|l'abandon des peurs
yang ba'i gnas gsum|les trois lieux dangereux (dans le bar do)
yang dag bsgrub pa'i rigs|gotra acquis ou cultivé
yang dag mtha'|fin ultime
yang dag pa'i 'tsho ba|moyens d'existence justes
yang dag pa'i chos|méthode, enseignement juste, Dharma authentique
dam pa'i chos|méthode, enseignement juste, Dharma authentique
yang dag pa'i dran pa|attention juste
yang dag pa'i kun rdzob|réalité relative vraie
yang dag pa'i las|action juste
yang dag pa'i lta ba|vue juste ou parfaite
yang dag pa'i ngag|parole juste
yang dag pa'i rtog pa|pensée juste
yang dag pa'i rtsol ba|effort juste
yang dag pa'i ting nge 'dzin|recueillement juste
yang dag par rdzogs pa'i byang chub|Éveil complet et parfait
yang dag par rdzogs pa'i sangs rgyas|bouddha parfaitement éveillé
yang dag par yongs su rdzogs pa'i byang chub|insurpassable Éveil authentique et parfait
yang dag spong ba bzhi|quatre purs abandons
yang gsang bla na med pa'i skor|cycle très secret insurpassable (rDzogs-chen)
yang gsang gi skor|cycle très secret
yang srid|renaissances successives
yang ti bram ze|cycle Yang ti du brahmane (rDzogs-chen)
yang ti nag po|Yang ti noir (rDzogs-chen)
ye grol|liberté originelle, liberté primordiale
ye gshen gyi theg pa|véhicule du Shen primordial (Bon)
ye gzhi|Base primordiale
thogs ma'i gzhi|Base primordiale
ye nas sangs rgyas|Bouddha primordial
gdod ma'i sangs rgyas|Bouddha primordial
ye shes|sagesse
ye shes bla ma'i sa|Sagesse insurpassable (16eterre)
ye shes bzhi sbyor gyi snang ba|vision des quatre sagesses combinées
ye shes kyi dbang gi gnas de bzhin nyid|tathata support de la maîtrise des sagesses
ye shes kyi pha rol tu phyin pa|vertu transcendante de la sagesse
ye shes kyi phyag rgya ma|sceau de sagesse, yogini visualisée
ye shes kyi rlung|souffle de la sagesse
ye shes kyi sa bskyed pa|développement de la terre de sagesse
ye shes kyi sku|corps de sagesse
ye shes kyi tshogs|accumulation de sagesse
ye shes lhun grub la 'jug pa|entrée-dissolution de la sagesse dans la présence spontanée
ye shes lnga|cinq sagesses primordiales
ye shes mkha' 'gro ma|?akini de sagesse
ye shes par nga rgyal bskyed|développer la fierté en tant qu'être de sagesse
ye shes sems dpa'|déité de sagesse
ye shes sems dpa'|être de sagesse
yi dam|déité d'élection
yi dam la 'pho ba|transfert de conscience dans la déité d'élection
yi dwags|esprit avide, fantôme affamé
yi ge 'khor lo tshogs chen gyi sa|terre de la grande assemblée de la roue des lettres
yi ge'i tshogs|groupe de lettres
yid|entendement, intellect
yid 'ong byams pa|amour chaleureux
yid bde ba'i dbang po|faculté d'éprouver le plaisir mental
yid bzhin nor bu|joyau qui exauce les souhaits
yid kyi dbang po|faculté mentale
yid kyi khams|tempérament intelligent et critique
yid kyi las|karman de l'esprit
yid kyi lus|corps mental
yid kyi mngon sum|perception directe mentale
yid kyi rnam shes|conscience mentale
yid kyi skye mched|source mentale
yid la byed|attention, application
yid la sems pa'i zas|aliment des opérations mentales
yid mi bde ba'i dbang po|faculté d'éprouver la douleur morale
yig brgya|mantra des cent syllabes de Vajrasattva
yod mtha'|croyance en l'être
yod pa|existant, exister
yon tan mngon sgrub kyi bsam gtan|dhyana où l'on achève les qualités
yon ten|qualité, vertu
yongs grol|liberté complète
yongs grub mtshan nyid|nature parfaitement établie
yongs su 'dzin med de bzhin nyid|tathata complètement insaisissable
yongs su dpyod pa|compréhension analytique complète
yongs su myang 'das|passage en nirva?a
yongs su rtog pa|investigation complète des contenus
yul|lieu, espace
yul|objet
yul bzhi|quatre sortes d'objet de connaissance
yul can gyi 'od gsal|claire lumière subjective (dge lugs)
yul can|sujet
yul gyi 'od gsal|claire lumière objective (dge lugs)
yul lnga|cinq objets des sens
yul nges byed lnga|facteurs mentaux déterminants(5)
yul snang|perception d'objets, apparition d'objets.
yum chen khro mo lnga|les  cinq Grandes Mères courroucées
zag bcas|impur, souillé
zag bcas kyi mngon shes|connaissances supranormales souillées
zag bcas kyi phung po|agrégats contaminés
zag med|pur
zag med rgyu|causes pures
zag med sa bon|semence pure
zag pa|souillures, écoulements ou impuretés
zag pa'i rgyu|causes souillées
zag pa zad pa'i mngon shes|connaissance de l'extinction des impuretés
zag pa zad pa'i stobs|pouvoir de connaître comment l'on parvient à l'épuisement des souillures ou écoulements
zang thal le|d'une clarté pénétrante, transparence pénétrante
zang thal|d'une clarté pénétrante, transparence pénétrante
zang zing bcas pa'i tshor|sensations charnelles
zang zing gi sbyin pa|générosité matérielle
zas|aliment
zas gtad|offrandes de nourriture
zas ma nges pa|incertitude quant à la nourriture (dans le bar do)
zhabs bsil|eau pour se laver les pieds
zhal zas|nourriture
zhe sdang|haine
zhe sdang med pa|absence de haine
zhe sdang|colère-haine, fureur
khro bo|colère-haine, fureur
zhen yul|objet déterminé
zhi ba|paix
zhi ba'i las|activité d'apaisement
zhi ba'i lha|déités paisibles
zhi gnas|calme mental
zhi gnas kyi dmigs pa|objets de méditation du calme mental
zhing khams|champs de bouddha, terre pure
zhu rdzas|substances fondues
zla ba las byang chub|Éveil par la lune
zung 'jug|union indivisible
zung 'jug gi rim pa|étape de l'union
zung 'jug tshom bu'i snang ba|vision des bouquets de l'union
zung 'jug ye shes la 'jug pa|entrée-dissolution de l'union dans la sagesse
zur chag gi skad|langue crépusculaire
'bras bu 'gyur pa|Transformation en tant que fruit
'chab pa|Dissimulation
'dod chags|Attachement, désir-attachement
'du byed|Facteurs de composition
'du ma byas|Incomposé
'du shes|Représentation mentale
'du shes med pa|Etat sans représentations mentales
'du shes med pa'i snyoms par 'jug pa|Absorption égalisatrice dépourvue de représentations mentales
'dun pa|Aspiration
'gog pa'i snyom par 'jug pa|Absorption égalisatrice de cessation
'gyod pa|Regret
'jigs tshogs la lta ba|Croyance aux assemblages périssables
'jug pa|Continuation, développement, engagement, entrée
'jug pa'i rnam shes|Conscience d'engagement, conscience en développement
'phags pa|Etre noble
'tshig pa|Méchanceté
(rdzas) gcig pu|Entité unique
bag chags|Imprégnation, empreinte, trace
bag med|Négligence
bag yod|Soin attentif
bdag|Soi
bdag la chags pa|Amour du soi, amour propre
bdag tu lta ba|Vue du Soi
bdag tu nga rgyal|Orgueil du Soi
bdag tu rmongs pa|Confusion du Soi
blo|Discernement, intellection (en tant que facteur mental)
blo|Intellection (syn. de 'shes rab' en tant que facteur mental)
brjed ngas pa|Oubli
brtsegs|Accumulation
brtson 'grus|Diligence
bsams pa'i las|Acte motivé
byed pa'i las|Acte fonctionnel
che ba'i nga rgyal|Orgueil de supériorité
chos kyi dbyings|Espace de la réalité, dimension absolue
chos kyi khams|Domaine des phénomènes mentaux
chos nyid|Réalité ultime
chud mi za ba|Persistance, résidu perdurable
dad pa|Foi
dbang po|Faculté, organe subtil des sens
dbyibs|Configuration, figure
de bzhin nyid|Ainsité
dge ba|Vertueux, vertu
dge ba'i rtsa ba|Vertus principales, vertus racines
dmigs pa|Objet référent
dmigs pa'i sems las skyes pa|Né d'un esprit qui s'y réfère
dngos po|Substance, chose efficiente
don dam pa'i ngo bo nyid med|Absence d'essence ultime
dpyod pa|Analyse subtile
dran pa|Mémoire
dus|Temps
g.yo|Hypocrisie
gnas 'gyur|Renversement du support
gnas ngan lan|Résistances
gnas pa|Durée
gnyid|Sommeil
go rims|Progression par degrés
grangs|Nombre
gtang snyoms|Impartialité, équanimité
gti mug|Aveuglement
gti mug med pa|Absence d'aveuglement, Absence de stupidité
gzhan dbang gi rang bzhin|Nature dépendante
gzugs dang sems dang mi ldan pa'i 'du byed / sems dang mi ldan pa'i chos / ldan min 'du byed|Facteurs de composition qui ne sont ni matière ni esprit
kha na ma tho ba|Commettre une faute, un méfait
khams|Domaines (dix-huit)
khon du 'dzin pa|Ressentiment
khong khro|Colère-aversion
khrel med|Irrespect d'autrui
khrel yod|Respect d'autrui
khro ba|Colère
khyad par|Caractère distinctif, différence, spécificité
kun brtags rang bzhin|Nature purement imaginaire
kun 'gro sems 'byung|Facteurs mentaux omniprésents (cinq)
kun gzhi rnam par shes pa|Consience base universelle
las|acte
las kyi rnam par smin pa mtshung pa la gnas pa|Condition de rétribution liée à un karma semblable
le lo|Paresse
len pa'i phung po|Agrégats d'appropriation
log pa'i nga rgyal|Orgueil déplacé
log par lta ba|Vues fausses
lta ba|Vue, opinion
lta ba mchog tu 'dzin pa|Croyance qui survalorise une vue
lus kyi las|Acte du corps
lus kyi rnam par rig byed|Action perceptible du corps
ma chags pa|Absence d'attachement
ma dad pa|Manque de foi
ma rig pa|Ignorance (1er facteur de la production en dépendance)
mgyogs pa|Rapidité
mi dge ba|Non vertueux
mi rtag pa nyid|Impermanence propre (à un phénomène)
mi 'tshe ba|Non-violence
ming gi tshogs|Groupement de noms
mngon pa'i nga rgyal|Vantardise
mngon par rtogs pa|Réalisation manifeste
mngon sum|Perception directe
mos pa|Conviction
mthar 'dzin par lta ba|Croyance aux extrêmes
mtshams sbyor gyi rnam shes|Conscience de jonction (du moment de conception)
mtshan nyid kyi ngo bo nyid med|Absence d'essence des caractéristiques
nga rgyal|Orgueil
nga rgyal las kyang nga rgyal|Outrecuidance
ngag gi las|Acte vocal, de la parole
nga'o snyam pa'i nga rgyal|Présomption
ngar sems|Pensée fixée sur le moi
ngo bo med pa|Absence d'essence
ngo tsha med pa|Irrespect de soi
ngo tsha shes pa|Respect de soi
nyer 'dogs / nye bar 'dogs pa / btags pa|métaphore
nyon mongs|Passion
nyon yid|Mental passionné
phrag dog|Jalousie
rang bzhin gsum|Trois natures
rdul phra rab|Atome
rdul phra rab kyi 'dus pa|Conglomérat d'atomes
rdzas|Entité substancielle, substance
rdzas / dngos po|Matière, consistance
rdzas yan lag can / cha shas can|Entité composite (unité, tout composite)
reg pa|Contact
rga ba|Vieillissement
rgod pa|Agitation
rgyags pa|Suffisance
rgyu dang 'bras bu|Causes et effets, causalité
rgyu mthun pa'i bag chags|Imprégnation conforme à sa cause
rgyud|Série individuelle
rgyur 'gyur pa|Transformation en tant que cause
ris mthun pa|Similitude d'espèce, de classe
rjes dpag|Inférence
rjes su dran pa|Remémoration
rmugs pa|Torpeur
rnam pa|Aspect
rnam par g.yeng ba|Distraction
rnam par 'grol ba'i sku|Corps de complète libération
rnam par rig byed (pa'i las)|Action perceptible
rnam par rig byed ma yin (pa'i las)|Action imperceptible
rnam par rig byed ma yin pa'i gzugs|Forme imperceptible, information
rnam par rig pa|Perception, cognition
rnam par rig pa tsam|Simple perception sans plus
rnam par rtog pa / rnam rtog|Construction imaginaire
rnam par shes pa|Conscience
rnam par shes pa'i 'gyur pa|Métamorphose, transformation de la conscience
rnam par smin pa|Rétribution, maturation
rnam par 'tshe ba|Violence
rnam smin|Maturation, rétribution
rnam smin pa'i bag chags|Imprégnation de rétribution
rnam smin rnam shes|Conscience de maturation
rtog pa|Examen initial
rtog pa'i las|Karma fictionnant
rtsa ba'i rnam par shes pa|Conscience-racine, conscience-source
rtsol ba can gyi las|Acte impliquant un effort
sa bon|Semence
sbyor ba|Connection, adhésion,ajustement
sems|Esprit
sems 'byung|Facteurs mentaux associés
sems med|Etat privé de conscience, état inconscient
sems pa|Intention
sems pa'i las|Acte motivant
sems tsam pa|Esprit seulement
ser sna|Avarice
sgyu|Tromperie, illusion
shes bzhin ma yin pa|Manque de vigilance
shes rab|Connaissance supérieure (en tant que discernement du réel)
shes rab|Discernement, intellection (6ème perfection)
shing sbyang|Souplesse
skye ba|Naissance  (facteur de la production en dépendance)
skye ba ngo bo nyid med|Absence d'essence de la production
skye mched|source (psycho-sensorielle)
so so'i skyes bu|Personne ordinaire
so sor nges pas|Détermination des distinctions
srid pa'i rtse|Cime de l'existence
srid pa'i yan lag gi rnam par shes pa|Conscience membre de l'existence, conscience en mode existentiel
srog gi dbang po|Faculté vitale
thob pa|Obtention
ting nge 'dzin|Concentration, recueillement
tshig gi tshogs|Groupement de phrases
tshogs|Assemblage
tshor ba|Sensation (facteur de la production en dépendance)
tshul khrims dang brtul zhugs mchog tu 'dzin pa|Surestimation de la discipline et de l'ascèse
yi ge'i tshogs|Groupement de syllabes
yid|Mental
yid kyi las|Acte mental
yid kyi rnam shes|Conscience mentale
yid la byed pa|Attention
yong su grud pa'i rang bzhin|Nature parfaitement établie
yul|Localisation
yul gzhan du 'pho ba|Transfert dans un autre lieu
yul nges byed lnga|Facteurs mentaux dont l'objet est déterminé (cinq)
zad snyam pa'i nga rgyal|Prétention
zhe sdang|Aversion
zhe sdang med pa|Absence d'aversion, de colère
byang chub|Eveil
a skye med|A du sans naissance, le A blanc de pureté primordiale
'al 'ol|Confus, vascillant
ar la gtad pa|Fixer le regard
bag la nyal|Qui est latent. subconscient
bag chags|Empreintes karmiques, les imprégnations, les propensions karmiques, les tendances habituelles, vâsanâ
bar do|Etat intermédiaire, antarâbhava
bar chad|Empêchements, les obstacles
ban bun|Falot, brumeux, faible, vaporeux, nébuleux
'bad rtsol med pa|Sans aucun effort
'bol 'bol|Relaxant, agréable
