bsgrub pa bka' brgyad|huit préceptes transmis (Nyingma)
shes rab gsum|Les trois formes de sagesse : La sagesse ou le discernement par l'écoute , ou l'étude (thos pa), la contemplation ou la réflexion (bsam pa), et la familiarisation ou la méditation (sgom pa). Les trois conduisent à la certitude.
steng dang 'og gi sgo|Les portes supérieures et inférieures : elles désignent respectivement les roues supérieures et la roue secrète ou sexuelle de son propre corps ou de celui d'une partenaire mystique dans la pratique des tantras. Voir aussi Longchenpa, Dispelling Darkness in the Ten Directions, fo 453.
'khor lo drug|Les six cakra ou « roues de canaux » qui forment la porte supérieure de notre corps (rang lus steng sgo 'khor lo drug) sont des centres d'énergie situés dans le corps du méditant, là où les canaux convergent. On distingue: (1) la roue du ciel, située au centre du crâne (gtsug tor nam mkha'i 'khor lo), (2) la roue de la grande félicité, située au centre de la tête (spyi bo bde chen gi 'khor lo), (3) la roue de la jouissance, située au centre de la gorge (mgrin pa longs spyod kyi 'khor lo), (4) la roue du dharma, située au centre du cour (snying ka chos kyi 'khor lo), (5) la roue d'émanation, située au centre du nombril, et (6) la roue qui garde la félicité, située au centre secret (gsang chen bde skyong gi 'khor lo) (NSH, 2, p.150).
rang lus steng sgo 'khor lo drug|Les six cakra ou « roues de canaux » qui forment la porte supérieure de notre corps sont des centres d'énergie situés dans le corps du méditant, là où les canaux convergent. (voir 'khor lo drug)
gtsug tor nam mkha'i 'khor lo|la roue du ciel: située au centre du crâne, c'est un des six cakra ou « roues de canaux » qui forment la porte supérieure de notre corps (rang lus steng sgo 'khor lo drug)
spyi bo bde chen gi 'khor lo|la roue de la grande félicité: située au centre de la tête, c'est l'un des six cakra ou « roues de canaux » qui forment la porte supérieure de notre corps (rang lus steng sgo 'khor lo drug)
mgrin pa longs spyod kyi 'khor lo|la roue de la jouissance, située au centre de la gorge; c'est l'un des six cakra ou « roues de canaux » qui forment la porte supérieure de notre corps (rang lus steng sgo 'khor lo drug)
snying ka chos kyi 'khor lo|la roue du dharma, située au centre du cour; c'est l'un des six cakra ou « roues de canaux » qui forment la porte supérieure de notre corps (rang lus steng sgo 'khor lo drug)
sprul pa'i 'khor lo|la roue d'émanation, située au centre du nombril; l'un des six cakra ou « roues de canaux » qui forment la porte supérieure de notre corps (rang lus steng sgo 'khor lo drug)
gsang chen bde skyong gi 'khor lo|la roue qui garde la félicité, située au centre secret; l'un des six cakra ou « roues de canaux » qui forment la porte supérieure de notre corps (rang lus steng sgo 'khor lo drug)
rim gyis pa |gradualiste
srog shing gsum|Les « trois arbres de vie » : ils désignent les trois canaux (rtsa ; nadi) dans le corps subtil qui permettent aux énergies vitales, « souffles » (rlung ; prana), de circuler. Il s'agit du canal médian (dbu ma ; avadhuti), le canal à sa droite (ro ma ; rasana) et celui à sa gauche (rkyang ma ; lalana). La « vache céleste » (nam mkha'i ba) désigne la syllabe ha? qui est visualisée dans la roue de grande félicité au centre de la tête dans les pratiques de l'ardente (gtum mo ; candali). En général, le feu imaginé sous la forme d'une lettre à la roue du nombril s'embrase et provoque une sécrétion séminale de la syllabe ha?, qui est alors « traite » comme du lait. Cette sécrétion s'égoutte et déclenche une expérience de félicité dans les quatre roues inférieures (GTR, communication privée du 24/7/03). Voir aussi les notes 21, 22 et 30.
rkyang ma|canal gauche
nam mkha'i ba|La « vache céleste » ; cela désigne la syllabe ha? qui est visualisée dans la roue de grande félicité au centre de la tête dans les pratiques de l'ardente (gtum mo ; candali). En général, le feu imaginé sous la forme d'une lettre à la roue du nombril s'embrase et provoque une sécrétion séminale de la syllabe ha?, qui est alors « traite » comme du lait. Cette sécrétion s'égoutte et déclenche une expérience de félicité dans les quatre roues inférieures
thig le|la goutte: D'après Kongtrül, (TB, p. 181) « goutte » désigne l'essence ou la graine de la grande félicité ». cela signifie également sphère. Dans les enseignements sur le corps vajra, ou corps subtil, cela indique l'essence du fluide séminal, appelé aussi « esprit d'éveil » (byang chub sems ; bodhicitta), faisant alors référence à la goutte en tant que substance (rdzas).<br/> La goutte est visualisée sous forme de « syllabes germes » de l'alphabet tibétain, à différents endroits du canal médian du corps vajra. Le pratiquant se concentre sur une roue différente au cours de ces diverses pratiques.
zur pa mes dbon|les patriarches Zur: Zurpoché « le Grand Zur » (lha rje zur po che sha kya 'byung gnas, Xe-XIe siècle.), Zurchungpa, « Zur le Jeune » (zur chung shes rab grags, 1014-74), et Dropukpa, « Seigneur des secrets » (gsang bdag sgro phug pa [sha kya seng ge], 1074-1135
lha rje zur po che sha kya 'byung gnas|Zurpoché - « le Grand Zur ». L'un des trois patriarches Zur( Xe-XIe siècle.)
zur chung shes rab grags|Zurchungpa - « Zur le Jeune » , l'un des trois patriarches Zur (1014-74)
gsang bdag sgro phug pa|Dropukpa, « Seigneur des secrets » , l'un des trois patriarches Zur (1074-1135)
gsang bdag sgro phug pa sha kya seng ge|Dropukpa, « Seigneur des secrets ». l'un des trois patriarches Zur (1074-1135)
kun mkhyen dri med 'od zer|L'omniscient Drimé Özer - (1308-1363), connu sous le nom de Longchen Rabjampa (klong chen rab 'byams pa) ou Longchenpa, l'érudit et accompli le plus renommé de la tradition Nyingma. Il a composé deux cent soixante-trois ouvrages, le plus important étant les Sept Trésors (mdzod bdun).
bsnyen sgrub yan lag bzhi|Les quatre branches de l'approche et de l'accomplissement : traduit aussi par « les quatre branches du service rituel et des rites d'accomplissement » : (1) l'approche (bsnyen pa), (2) l'approche intime (nye bsnyen), (3) l'accomplissement (sgrub pa), et (4) le grand accomplissement (sgrub pa chen po).
brda bzhi|Les quatre signes : Conventionnellement, les quatre symboles ou signes sont : la clarté, la félicité, la non-pensée et l'indivisibilité. Dans le contexte de l' « encouragement» (bskul) à la pratique sexuelle tantrique (las kyi phyag rgya), ils désignent l'échange de quatre phrases entre les deux partenaires : badzar samaya stom, badzar samaya ho, ragaya ham et ragaya mi. Voir Dodrup Jigmé Tenpai Nyima, Key to the Precious Treasury (mdzod kyi lde'u mig) dans l'édition NKG, folio 38a.
phyag rgya bzhi |Dans le contexte particulier de l'approche intime, les quatre moudras, ou gestes, consistent à s'unir aux quatre syllabes : dza, hum, bam, ho, qui représentent les quatre actions de séduire ('gug), attacher ('ching), retenir (sdom) et plaire (mnyes) ou exciter (myos).
'du shes gsum|Les trois perceptions, telles qu'elles sont expliquées par Kongtrül dans son commentaire du texte trésor zhal gdams lam rim ye shes snying po (fo 395), (voir LW), sont : (1) Le yogi et sa partenaire se visualisent comme des divinités en union, (2) accomplissent la bénédiction mutuelle de l'espace et du secret en tant que vajra et lotus, et (3) partagent le même souhait d'accomplir l'état de Vajrasattva, la grande félicité, pour le bien d'autrui, en s'appuyant sur cette méthode.
dmar cha dkar cha |les « aspects ou constituants (khams) rouge et blanc » - Ce sont les gouttes particulièrement associées aux deux potentiels de procréation des fluides sexuels (khu rdul). L'aspect rouge, ou l'essence de l'ovule (khrag) est un héritage de la mère au moment de la conception tandis que l'aspect blanc, ou l'essence du sperme (khu ba) provient du père. Ils s'unissent au moment de la relation pour former la base physique de la conscience de l'être intermédiaire qui entre en eux lors de la conception. Pendant tout le développement fotal ces essences restent au nombril, le centre énergétique d'où le corps se développe. À la naissance, elles se séparent ; la goutte blanche se situe à la tête et la goutte rouge quatre doigts en dessous du nombril. Telles sont les essences originelles qui représentent respectivement la méthode (la grande félicité) et la sagesse (la vacuité). Elles demeurent constamment dans ces lieux physiques et soutiennent la vie, jusqu'à ce que la mort les perturbe. Dans une pratique yogique comme celle-ci, c'est le sous-produit des essences originelles qui se déplace.
dga' bzhi'i rim 'gros|Les quatre joies succesives : À mesure que le flot de la goutte blanche s'écoule du sommet de la tête et entre dans le canal médian en passant par les roues, le pratiquant éprouve une « joie » (dga' ba) à chaque passage. Ces quatre expériences sont appelées joie initiale (dang po'i dga' ba), joy suprême (mchog dga' ba), joie spéciale (khyad dga' ba) joie coémergente (lhan cig skyes pa'i dga' ba). Il s'agit alors des « quatre joies dans l'ordre, c'est-à-dire en descendant, contrairement aux quatre joies en sens inverse
mas brtan pa'i dga' bzhi|Les quatre joies se produisent maintenant dans le sens inverse (ascendante), lorsque, au cours de cette pratique, l'esprit d'éveil remonte. Cette réalisation a lieu pendant la pratique de l'ardente, d'après les enseignements sur la phase d'accomplissement des tantras mères du yoga incomparable. Si l'esprit d'éveil est stabilisé, il remonte en sens inverse depuis l'extrémité du pénis, passe par les quatre roues - du nombril, du cour, de la gorge et de la tête -, produisant les quatre joies.
pha rol tu phyin pa bcu |Les dix perfections spirituelles ou les vertus transcendantes sont généralement au nombre de six : (1) la générosité (sbyin pa), (2) la discipline (tshul khrims, (3) la patience (bzod pa), (4) l'effort (brtson 'grus), (5) la méditation (bsam gtan), et (6) la sagesse (shes rab), auxquelles se rajoutent les quatre suivantes : (7) la méthode (thabs), (8) le pouvoir (stobs), (9) l'aspiration (smon lam), et (10) la sagesse primordiale (ye shes).
sa lam|Les dix terres (sa ; bhumi) et les cinq sentiers (lam ; marga) décrivent la progression du bodhisattva en route vers l'éveil plénier. Les cinq sentiers sont ceux de l'accumulation (tshogs lam), de l'application (sbyor lam), de la vision (mthong lam), de la méditation ou de la culture (sgom lam), de l'aboutissement (mthar phyin pa'i lam) ou non étude (mi slob pa'i lam). Les dix terres commencent au sentier de vision. Pour l'explication par Kongtrül des qualités cultivées à chaque terre, voir OIC, vol. 3, p. 464-533.
rig 'dzin bzhi|Un détenteur de connaissance (rig pa 'dzin pa ou parfois rigs pa 'dzin pa ; vidyadhara) est une personne qui a atteint de hautes réalisations en pratiquant le vajrayana. Kongtrül définit ce mot de la manière suivante : « connaissance» (rig pa) désigne la conscience claire de la grande félicité qui perçoit la sublime non-dualité entre sujet et objet ; « détenteur » ('dzin pa) désigne une manière de remettre en lumière ce qui a toujours été là. » (OIC, vol. 2, p. 135-6). La tradition Nyingma dénombre quatre niveaux supérieurs de vidyadhara qui correspondent au dix ou onze terres de la voie des bodhisattvas. Ce sont (1) le vidyadhara qui mûrit [ou « avec des restes corporels »] (rnam smin rig 'dzin), (2) le vidyadhara qui contrôle la durée de vie (tshe dbang rig 'dzin), (3) le vidyadhara du grand sceau ou du mahamudra (phyag rgya chen po rig 'dzin), et (4) le vidyadhara de la présence spontanée (lhun gyis grub pa rig 'dzin).
rnam smin rig 'dzin|le vidyadhara qui mûrit [ou « avec des restes corporels »]
tshe dbang rig 'dzin|le vidyadhara qui contrôle la durée de vie
phyag rgya chen po rig 'dzin|le vidyadhara du grand sceau ou du mahamudra
lhun gyis grub pa rig 'dzin|le vidyadhara de la présence spontanée
gtan tshigs|hetu. Défini comme « partie d'un énoncé qui prouve le sens » (don gtan la 'bebs byed kyi tshig phreng gi tshigs sam dum bu ste) (BD, p. 1036). On peut aussi le traduire par « preuve », « raisonnement », etc.
sngon byung dngos lnga'i gtan tshigs|les cinq réalités de ce qui a déjà été dit - Les cinq corps du Maître déjà apparu ont enseigné le vrai sens direct de la réalité au moyen des cinq [modes de la] parole de bouddha, à cinq [membres de] l'entourage. Le maître du corps de réalité révéla le sens du non-né à Océan de Sagesse. Le corps d'expérience parfaite révéla les symboles de la perspective éveillée à Océan de Fructification. Le corps d'émanation révéla les mots expressifs à Océan de Dévotion. Le corps adamantin révéla le vajra à Vajra Indivisible. Le corps de l'éveil manifeste révéla l'inspiration de la sagesse primordiale à Océan de Vainqueur. Grâce à ces [cinq] discours, la communication fut établie.
rjes 'jug tshul lnga'i gtan tshigs|les raisonnements des cinq manières des disciples - Les cinq manières sont destinées à ceux qui ont une sagacité supérieure ; des entités sonores et omniprésentes révèlent le sens continu d'une façon qui s'harmonise avec les cinq corps déjà apparus. Par étapes, les raisonnements correspondant aux discours du Maître en tant que corps de réalité, corps d'expérience parfaite, corps de l'éveil manifeste, corps adamantin et corps de manifestation sont : le raisonnement du sens du non-né est l'illustration du non-né semblable au ciel. Le raisonnement des symboles de la perspective éveillée est la reconnaissance du voile, comparable à un reflet dans un miroir. Le raisonnement de la vraie clarté de la sagesse auto-connaissante est la clarté primordiale non conceptuelle, comparable au cour du soleil. Le raisonnement du vajra indivisible est l'union indissociable du son et de la vacuité, pareille à un écho. Le raisonnement des mots expressifs est celui dans lequel tous les esprits s'engagent, telle la voix de Brahma. Ils s'apparentent au moment où les grands maîtres passés ont fait l'expérience que tous les phénomènes sont le maître et le texte.
tshig lnga'i gtan tshigs|la preuve des cinq mots - Les cinq mots sont l'expression véritable de ces cinq manières. Les mots qui enseignent l'apparence primordiale du non-né sont les mots du corps de réalité. Les mots symboliques du profond sens caché sont les mots du corps d'expérience parfaite. Les mots qui enseignent la nature adamantine indivisible sont les mots du corps de vajra. Les mots et les lettres qui enseignent l'apparence naturelle de la sagesse primordiale sont les mots du corps d'émanation.
phyag rgya gcig spros bcas tshom bu tshogs sgrub|le mudra élaboré et l'atteinte des groupes d'assemblée - Le moudra unique est une déité seule. Le moudra élaboré est une visualisation plus complexe d'une seule déité. Les groupes d'assemblée, ou le moudra de la réunion de l'assemblée, désignent un groupe de déités.
thim rim|Résorption progressive - Il s'agit des signes qui apparaissent au moment de la mort : la dissolution des éléments physiques et la manifestation des trois lumières ou apparences : clarté, accroissement et obtention.
ting nge 'dzin gsum|Les trois absorptions méditatives ou samadhi - ce sont les premières phases de la visualisation. Les pratiques correspondent respectivement aux expériences de la mort, de l'état intermédiaire et de la conception, et peuvent donc purifier ou recréer ces expériences. L'absorption de l'ainsité (de bzhin nyid kyi ting nge 'dzin) dans la vacuité, associée à la sagesse, consiste à s'établir en égalité méditative, libre des concepts, dans un état qui, comme l'espace, imprègne tout. L'absorption de la « vision totale » ou qui perçoit tout (kun nas snang ba'i ting nge 'dzin) désigne l'émergence d'une compassion impartiale, associée aux méthodes, semblable à une illusion magique et dirigée vers tous les êtres qui n'ont pas la compréhension de la réalité. L'union des deux (comme méthode et sagesse) produit l'absorption de la cause (rgyu'i ting nge 'dzin), les symboles grossiers et subtils où est visualisée une syllabe germe, l'essence de la connaissance (rig pa) et la graine de la déité à visualiser. Voir Kongtrül, Soleil qui épanouit le bosquet de lotus (fo 12a), (LW), ou Creation and Completion (p. 38).
gsal ba'i tshad bzhi|Les quatre mesures de la clarté - ce sont : sa le, sang nge, lhag ge, et lhang nge. La traduction de ces mots onomatopéiques qui relèvent de l'expérience est une suggestion. Cf. la description de Jokyab Rinpoche dans LW 2, p. 177-8.
brtan pa'i tshad bzhi|Les quatre mesures de la stabilité - en tibétain ce sont : mi g.yo, mi 'gyur, mngon par mi 'gyur, cir yang sgyur du mi btub pa.
rong zom chos kyi bzang po|Rongzom Pandita Chökyi Zangpo ou Rongzompa (1012-1088). À l'instar de Longchenpa, il est considéré comme un érudit nyingmapa prodigieusement brillant.
nar son nas rgan po'i bar|de la maturité jusqu'à la vieillesse
phun sum tshogs pa lnga|les cinq excellences : Il s'agit le plus souvent de l'excellence du maître (ston pa), de l'entourage ('khor), du lieu (gnas), de l'enseignement (chos), et du temps (dus).
spogs chog|les ajouts (à une pratique)
las rgya ye rgya|le moudra de l'action et le moudra de sagesse primordiale : Il y a quatre ou cinq séries de pratiques qui portent le nom de mudra, « sceau » ou « geste » (mudra est un mot sanskrit qui indique qu'il s'agit d'un terme technique correspondant à certaines pratiques). J. Kongtrül en donne la liste suivante : « le moudra de l'action désigne une femme, le moudra du dharma toutes les apparences, le moudra de la promesse l'ardente, le moudra de la sagesse la divinité de méditation, et la non-dualité est le grand moudra ou mahamoudra. »
dngos grub brgyad kyi rig 'dzin chung ba|le détenteur de connaissance (vidyadhara) inférieur doté de huit pouvoirs
'bring 'dod pa'i rig 'dzin|le détenteur de connaissance moyen, du monde du désir.
chen po 'dod pa dang gzugs kyi rig 'dzin|le grand détenteur de connaissance, des mondes du désir et de la forme
dbang bsgyur|vidyadhara initié
zag ni sum cu phrag drug|six mois, ou littéralement six fois trente jours
zag bcas|Contaminé; Ce terme technique très fréquemment utilisé dans le bouddhisme signifie littéralement un « écoulement » (sasrava) ou éparpillement (de la sagesse primordiale), ce qui est sujet à la dégénérescence ou au déclin et aboutit à une contamination ou une souillure (autre traduction courante), essentiellement par les passions (nyon mongs pa ; klesa). Son contraire est zag med, non contaminé, sans souillure. On peut classer les cinq sentiers en contaminés ou avec passion (les deux premiers) et non contaminés, ou sans passion (les trois derniers) (OIC, vol. 3, p. 465).
rigs kyi nus pa gsos 'debs|Nourrir le potentiel de la famille, autrement dit, développer la nature intrinsèque d'un bouddha
rnam snang gi chos bdun|la posture en sept points de Vairochana; Dans cette position, les jambes sont en posture de lotus complet, la colonne vertébrale est droite, les épaules sont écartées, le cou est légèrement incliné, les mains reposent dans le geste de l'équanimité, le bout de la langue touche le palais, et le regard est dirigé dans le prolongement du nez.
ku su lu|Mot qui désigne parfois un mendiant ou un vagabond, mais le plus souvent un yogi au comportement naturel et sans artifice. La « méditation contemplative » ('jog sgom) est une pratique non analytique de concentration stable. C'est en général ce que les Occidentaux appellent « méditation ».
rnal 'byor pho mo|les yogis masculins et féminins : dans la pratique de l'assemblée, ils sont à la périphérie du mandala et forment l'entourage des divinités centrales père et mère (gtso bo yab yum)
gtso bo yab yum|les divinités centrales père et mère:  dans la pratique de l'assemblée, elles sont entourées dans le mandala par les yogis masculin et féminins (rnal 'byor pho mo).
rnam pa thams cad kyi mchog dang ldan pa'i stong pa nyid|La vacuité pourvue du meilleur des aspects: Ce type de vacuité n'est pas la simple négation d'une existence intrinsèque, mais fait référence à tous les aspects manifestés de la vacuité, laquelle se révèle sous toutes formes. Seule cette vacuité exceptionnelle dotée du meilleur des aspects a le pouvoir de produire la grande félicité immuable (mchog tu mi 'gyur ba'i bde ba). Cf. OIC, vol. 3, p. 213-7.
mchog tu mi 'gyur ba'i bde ba|la grande félicité immuable
phyi rgyud|tantras externes : les deux premiers systèmes tantriques de la quadruple division, c'est-à-dire les tantras de l'action et de la conduite, car ils intéressent surtout des pratiques physiques et verbales, comme les ablutions.
nang rgyud|tantras internes : les tantras du yoga et du yoga incomparable car ils sont davantage orientés vers la contemplation et l'intériorité. Les tantras du yoga incomparable (rnal 'byor bla med, bla med rgyud ; anuttaratantra) sont censés s'adresser à des disciples aux facultés supérieures. Dans la tradition Nyingma, ces yoga sont représentés par le mahayoga, l'anuyoga et l'atiyoga.
rnal 'byor bla med rgyud|Les tantras du yoga incomparable : ils sont orientés vers la contemplation et l'intériorité et sont censés s'adresser à des disciples aux facultés supérieures.
bla med rgyud|Les tantras du yoga incomparable : ils sont orientés vers la contemplation et l'intériorité et sont censés s'adresser à des disciples aux facultés supérieures.
ring lugs|lignée longue: litt. « tradition lointaine ». Cette expression signifie simplement lignée, ou tradition, mais elle est parfois utilisée en opposition à une lignée proche (nye brgyud) d'expérience visionnaire directe des enseignements laissés par un maître antérieur.
nye brgyud|lignée proche
sgrub brgyud shing rta lam srol chen po brgyad|les huit grandes traditions et voies des chariots de la lignée de pratique: Système de classification mis en évidence par Jamgön Kongtrül (1813-1899) et Jamyang Khyentsé Wangpo (1820-1892).
snga 'gyur rnying ma|Nyingma des anciennes traductions : la première les deux périodes de propagation de la doctrine, « première diffusion (snga dar) et « diffusion ultérieure » ( phyi dar)
snga dar|la première diffusion de la doctrine au Tibet
phyi dar|la diffusion ultérieure ou deuxième diffusion de la doctrine au Tibet
yo ga rnam gsum|les trois yogas : Ce sont les trois derniers véhicules de la tradition Nyingma qui se décompose en neuf véhicules (theg pa dgu). Les trois premiers sont les véhicules des soutras des auditeurs, éveillés solitaires et héros pour l'éveil. Les trois véhicules des tantras extérieurs sont les tantras de l'action (bya ba'i rgyud ; kriyatantra), tantras des deux ou de la conduite (gnyis ka/spyod pa'i rgyud ; caryatantra) et tantras de l'union (rnal 'byor rgyud ; yogatantra). Les trois véhicules des tantras intérieurs sont le mahayoga (rnal 'byor chen po ; grand yoga), l'anuyoga (rjes su rnal 'byor ; yoga subséquent) et l'atiyoga (shin tu rnal 'byor ; yoga extrême), qui correspondent en gros aux tantras incomparables (bla med rgyud ;anuttaratantra) selon la quadruple division des nouvelles traditions (cf. note 2). Les vues, pratiques et actions de toutes les sections des tantras, y compris les trois yogas, sont exposées en détail dans le sixième livre du Trésor des connaissances (OIC, vol. 2, p. 736-66 ou TB, p. 301-57)
theg pa dgu|les neuf véhicules de la tradition Nyingma : Les trois premiers sont les véhicules des soutras des auditeurs, éveillés solitaires et héros pour l'éveil. Les trois véhicules des tantras extérieurs sont les tantras de l'action (bya ba'i rgyud ; kriyatantra), tantras des deux ou de la conduite (gnyis ka/spyod pa'i rgyud ; caryatantra) et tantras de l'union (rnal 'byor rgyud ; yogatantra). Les trois véhicules des tantras intérieurs sont le mahayoga (rnal 'byor chen po ; grand yoga), l'anuyoga (rjes su rnal 'byor ; yoga subséquent) et l'atiyoga (shin tu rnal 'byor ; yoga extrême), qui correspondent en gros aux tantras incomparables (bla med rgyud ;anuttaratantra) selon la quadruple division des nouvelles traditions (cf. note 2). Les vues, pratiques et actions de toutes les sections des tantras, y compris les trois yogas, sont exposées en détail dans le sixième livre du Trésor des connaissances (OIC, vol. 2, p. 736-66 ou TB, p. 301-57)
bya ba'i rgyud|les tantras de l'action : une division des tantras externes
spyod pa'i rgyud|tantras de la conduite (ou tantras des deux) : une division des tantras externes
gnyis ka'i rgyud|Tantras des deux : division générale des tantras de l'action (tantras externes)
rnal 'byor rgyud|les tantras de l'union
rnal 'byor chen po|Mahayoga (grand yoga - grande union)
rjes su rnal 'byor|yoga subséquent
shin tu rnal 'byor|yoga extrême
bskyed rim|La phase de génération
rdzogs rim|La phase de perfection
rim pa gsum|Les trois étapes : Mayajalopadesakramatraya (P. 4742), commentaire du Tantra racine de l'essence secrète, par Vimalamitra, l'un des plus grands maîtres et érudits du bouddhisme indien. Il enseigna au Tibet au IXe siècle et traduisit de nombreux textes sanskrits. Avec Padmasambhava, il est l'une des sources principales des enseignements de la grande perfection au Tibet. Voir The Nyingma School of Tibetan Buddhism (Voir NSH, 1, p. 480-81.)
zag med mthong lam gnyis|Les deux sentiers de la vision non-contaminés: Il s'agit sans doute d'une référence aux deux premiers sentiers non contaminés, autrement dit le sentier de vision et celui de méditation (sgom lam) ou d'accoutumance (slob pa'i lam). On atteindra le fruit de ce sentier, que l'on soit effectivement engagé dans sa pratique ou sur le sentier de vision, avec pour effet le fruit du sentier où l'on n'apprend plus (mi slob pa'i lam), autre nom pour désigner le sentier de l'aboutissement. Mais il existe aussi deux divisions du sentier de vision auxquelles on pourrait songer : le sentier sans obstacle (bar chad med pa'i lam), où l'objet à abandonner et le remède sont encore en opposition, et (2) le sentier de la libération totale (rnam grol lam), lorsque le précédent a été franchi et que l'on s'apprête à entrer sur le sentier d'accoutumance
sgom lam|sentier de la méditation
slob pa'i lam|sentier de l'accoutumance
mi slob pa'i lam|le sentier où l'on apprend plus
bar chad med pa'i lam|le sentier sans obstacles
rnam grol lam|le sentier de la libération totale
yas brtan dang mas brtan gyi ye shes|la sagesse primordiale descendante et ascendante : La sagesse primordiale s'élève avec des expériences de joie en même temps que l'esprit d'éveil descend et monte à travers les roues de canaux.
kun tu bzang mo|Samantabhadri : elle est la personnification de l'état primordialement éveillé sous forme féminine et l'incarnation du principe de vacuité. Samantabhadra (kun tu bzang po) est l'état primordialement éveillé sous forme masculine et incarne l'aspect de la conscience intrinsèquement lumineuse (rang gsal rig pa) et les apparences inobstruées qu'elle perçoit. Puisque ces qualités n'ont jamais été séparées, l'union des deux déités révèle l'état naturel, complet et parfait de la conscience.
kun tu bzang po|Samantabhadra : il est l'état primordialement éveillé sous forme masculine et incarne l'aspect de la conscience intrinsèquement lumineuse (rang gsal rig pa) et les apparences inobstruées qu'elle perçoit.
rang gsal rig pa|la conscience intrinsèquement lumineuse
lung a nu yo ga|Anuyoga scripturaire : L'anuyoga est appelé scripturaire ou exégétique (lung) car, en plus des dix thèmes contenus dans le mahayoga, il en explique les points les plus essentiels.
rol pa'i ka ra|source du plaisir : le tibétain ka ra est une forme corrompue du sanskrit akara, qui signifie « source ». "rol pa'i ka ra" est donc la source du plaisir, du jeu, de l'excitation, ou de la manifestation, autrement dit : l'organe sexuel de la partenaire.
byin rlabs |grâce
srin mo'i gling|l'île des ogresses (rakshasas)
gser gyi bung ba|les abeilles d'or
tshangs chen gyi bskal|l'âge du grand Brahma
bstan pa'i btsas gsum|les trois précieuses révélations
longs spyod rdzogs pa'i sku'i snang cha|apparence/manifestation du corps d'expérience parfaite
tshe lo dpag med|durée de vie/longévité infinie
sems sde rtsa ba'i rgyud lnga|les cinq tantras racines de la série de l'esprit
me ri|montagne flamboyante/de feu
ru lu|féroce mantra
gya nom pa|excellence
chos sgo drug cu|les soixante portes de la doctrine
gdos bcas rang sar 'gro ba|libération de l'état matériel
rtog dpyod kyi rjes su 'jug pa|L'entrée [dans la voie de libération] qui s'accorde avec l'analyse conceptuelle : la première des trois « entrées » ('jug pa rnam gsum) dans la méditation sur la voie de libération de la sagesse dans l'anuyoga.
'jug pa rnam gsum|les trois « entrées » dans la méditation sur la voie de libération de la sagesse dans l'anuyoga.
don rjes su 'jug pa|l'entrée conforme au sens : la deuxième des trois « entrées » ('jug pa rnam gsum) dans la méditation sur la voie de libération de la sagesse dans l'anuyoga.
yi ge'i rjes su 'jug pa|« entrée par syllabes » :la troisième des trois entrées ('jug pa rnam gsum) décrit la pratique où l'on imagine la déité instantanément, dès qu'est prononcée sa syllabe germe, et non pas graduellement en construisant la visualisation.
rnal 'byor lnga|les cinq yogas de la voie des perfections, c'est à dire des cinq voies des véhicules causaux: il s'agit du (1) yoga de l'esprit d'aspiration sur la voie d'accumulation (tshogs lam 'dun pa sems pa'i [or dpa'i] rnal 'byor), (2) du yoga qui révèle la grande famille sur la voie de préparation (sbyor lam rigs chen 'byed pa'i rnal 'byor), (3) du yoga qui octroie la grande assurance sur la voie de vision (mthong lam dbugs chen 'byin pa'i rnal 'byor), (4) du yoga de l'obtention de la grande prophétie sur la voie d'accoutumance (sgom lam lung chen thob pa'i rnal 'byor)et (5) du yoga qui complète la grande force expressive de la voie ultime (mthar lam rtsal chen rdzogs pa'i rnal 'byor).
tshogs lam 'dun pa sems pa'i rnal 'byor|yoga de l'esprit d'aspiration sur la voie d'accumulation (voir rnal 'byor lnga)
sbyor lam rigs chen 'byed pa'i rnal 'byor|yoga qui révèle la grande famille sur la voie de préparation (voir rnal 'byor lnga)
mthong lam dbugs chen 'byin pa'i rnal 'byor|yoga qui octroie la grande assurance sur la voie de vision (voir rnal 'byor lnga)
sgom lam lung chen thob pa'i rnal 'byor|yoga de l'obtention de la grande prophétie sur la voie d'accoutumance (voir rnal 'byor lnga)
mthar lam rtsal chen rdzogs pa'i rnal 'byor|yoga qui complète la grande force expressive de la voie ultime (voir rnal 'byor lnga)
sems kyi mtshang btsal ba|rechercher la condition cachée de l'esprit; aussi traduit par chercher le mode inné de l'esprit ou chercher le secret de l'esprit (RY) ; ou bien chercher les défauts (skyon) dans l'esprit
'gag don|Le sens arrêté (de la méditation et de la vue); pourrait aussi se traduire par « points de négation » dans la mesure où tous ces points révèlent ce que la vue n'est pas.
tshad ma sde bdun|les sept collections de la connaissance valide. Sept traités de de Dharmakirti: trois traités racines: "Stances de commentaire de la logique" (D 4210) , "Confirmation de la logique" (D 4211) , "Gouttes du raisonnement" (D 4212) , et quatre traités branches: "Analyse des relations" (D 4214) , "Gouttes de raisons" (D 4213) , "Connaissance du débat" (D 4218)  et "Etablissement du continuum d'autrui" (D 4219).
snyoms 'jug|égalité d'absorption, égalité méditative
grogs kyi rgyu|cause accompagnatrice
las kyi rlung|souffle d'action/des actions
phung po|agrégat, masse, tas
tshor ba'i phung po|agrégats des sensations
gzugs kyi phung po|agrégat de la forme
'du byed|formations, formations mentales, composants
so sor brtags pa'i 'gog pa|cessation analytique
shes rab|sagesse, discernement, compréhension, sagesse discriminante,
