Tibétain,Sanskrit,Anglais,Sens racine Français,"Autres termes rencontrés",Definition,Ordre alpha tib
dbyangs ,"svara, svaras, saras, sāras, ghoṣa",,"Mélodie,
Air (de chants)
Voyelles,","mélodie, air, chant, mélodieux, chanson
ālikāli : “voyelles et consonnes”, l'alphabe",parfois employé comme nom pour les rites de sbyor sgrol dans les Tantras du gsang snying,763
dbyangs 'char ,svarodaya,,Un type de divination par la numérologie interprétant les voyelles et les consonnes associées à des nombres.(à vérifier),,"dbyangs 'char –
(DM) As a kind of astrology, TR XIV no. 10, p. 18 ff.
(JV) rain making, Svarodaya Tantra (a Shaiva text dealing with astrology), method of prediction through the interpretation of the vowels and consonants associated with numbers, corresponds to the science of numerology, numerology
(IW) dbyangs yig la brten nas brtag pa'i rtsis une branche profonde de divination et numérologie indienne affiliée à Iśvara dans son origine",764
dbyangs snyan ,,,"Mélodieux,
 Le coucou, 
Chanteur divin
Gandharva (dri za )",,"(TDC) dbyangs snyan, 
(mngon) 1) khu byug  ...2) dri za,...3) lha yiglu mkhan,...
",765
"dbyangs bsnyad 
= dbyangs su bsnyad pa ",geya,,"Hymne chanté,
Proclamation chantée,
","(aphorismes en) prose et en vers, proclamations chantées","(RY) dbyangs bsnyad
{dbyangs su bsnyad pa} Proclamations in Song; one of 12 aspects of excellent speech {gsung rab yan lag bcu gnyis} 
(IW) proclaim in song, hymns and praises
 ",766
dbyangs yig ,,,Les voyelles,voyelles,,767
dbyar gnas ,,,"Retraite d’été,
(Période de) résidence (pendant) l’été",retraite d'été,,768
dbyings ,dhātu,sphere (SL MW),"Immensité,
Sphère,
Domaine,","sphère (ultime), domaine, étendue, nature, source, dimension (fondamentale), espace (absolu, matriciel de la vacuité), champ, réalité",,769
"dbyug pa 
→ be con ",daṇḍa,,"Bâton,
Baguette ;","bâton, baguette",,770
dbye ba ,,,"Divisions,
Distinctions,
Catégories,","différence, division, catégorisé en différentes étapes, formes, séparation, (faire des) distinctions, types, différencier, distinguer, séparer, classifier, diviser, classer, caractéristiques, particularité distinctes, races, sortes, détaillé
= thang : plaine, champ, étendue",,771
dbye bsal med pa ,,,"Sans divisions claire,
Sans distinctions claire,
Sans séparation distincte,","sans différenciation
ni
exclusion",,772
"dbyer med 
= dbye bar med pa 
= dbye ba med pa ",asambheda,,"Inséparable,
Indissociable,
Indifférenciable,
Uni,

","inséparable (unité, identité), indivisible, indissociable, inséparabilité, devenir un et un seul, indifférenciable, indissoluble, indistinction entre, non duel, non dualité, union (indivisible), non deux, non séparé, non duellement unis, coalescence, devenir un avec, union essentielle, indifférenciation, dépourvu de, absence de différence, non différenciation",,773
"dbri bsnan med pa 
= bzhag bsal med pa = bzhag dang bsal med ",,,"Sans croissance ni décroissance,","sans ajouter
ou
prendre, soustraire, enlever, dissiper, se débarraser de qqch","dbri bsnan med pa
 (RB) without diminution or augmentation",774
'bangs ,dāsa,,"Peuple,
Sujets,
",peuple,"(RY) 'bangs 
1) people, subject, commoner, citizen. 2) servant, attendant. 3) disciple",775
'bad pa ,,,"Faire effort,
S’efforcer,
","(faire un grand) effort, s'efforcer, ",,776
'bad med ,,,"Sans effort,","sans aucun effort, spontané",,777
'bad rtsol ,,,"Effort et persévérance,
Effort et tentatives","qui demande un effort (éprouvant, énergique), s'efforcer (avec la plus grande diligence)",,778
'bar ba ,jvāla,,"Brûler,
Flamboyer,
Etincellant,
","flamboyant, embrasé, un feu, resplendissant, éblouissant, enflammé, étincelant, incandescent, s'embraser, prendre feu, tout feu tout flamme, couvert de flammes, rayonner, rutiler, rougeoyer, luire, répandre leur lumière, florissant, brûler, éclat, ardeur, élan (d'enthousiasme), de braise, brillant, éclatant, chaudement, élogieux, chatoiement, scintillant, incendie, flamber, briller de tous ses éclats",,779
'bod pa ,,,"Appeler (demander à qq de venir)
","crier, appeler, hurler, pousser des hurlements, des cris d'orfraie","(TDC) 'bod pa, 
(tha dad pa) bos pa, 'bod pa, bos, gzhan la skad kyis sbron pa'am mgron du gdan 'dren pa,...'dir shog ces bos,...kho'i ming la ji ltar 'bod,...ngu 'bod,...'grul pa gsoltshigs la bos pa,...khang pa'i nang du 'bod pa,...

(RY) 'bod pa
{'bod pa, bos pa, 'bod pa, bos} trans. v.; to * to exclaim; ft. of {'bod pa} *. calls out for. zhes + - called such-and-such",780
'bol le ba ,,,"En douceur,
Tout en douceur,
Tout détendu,
Relaxé,
","détendu, relaxé, doux, (demeurer) en relaxation
'bol 'bol : relaxant, agréable","(TDC) 'bol le ba, 
lhod lhod,...bya spyod 'bol le ba byed pa,...gtam 'bol le ba smra ba,...sman btungs pas lus bde 'bol le ba zhig byung,...
",781
"'byams pa 
→ mtha' yas 
→ tshad med ",,,"Illimité,
Inombrable,

Amplifier,
Diffuser,
Englober,
","sans limitations, illimité, infini","(TDC) 'byams pa, 
1. 'byam pa'i 'das pa, 2. mtha' med pa dang, ha cang mang po,...gnas lugs rab 'byams khong du chud pa,...
 'byam pa, 
(tha mi dad pa) 'byams pa, 'byam pa,, 1) 'phel ba'am, mched pa, khyab pa,...gtam bzang phyogs kun tu 'byam pa,...srol ngan ma dag rgyun 'byams su 'gror mi 'jug ...2) yol ba, 'gor ba,...las don chung ba sna gcig la zla zhag mang po'byams pa,...

(RY) 'byams pa 
Buddha Maitreya. to lapse into, be immersed in. pf. of {'byam pa}; to flow over, to be diffused",782
"'byung khung 
= 'byung khungs 
= khung 
='byung gnas ","akāra, kara, ākara, saṃbhava, kāraṇaṃ, udbhava",,"Origine,
Source,
","source, extraction, ascendance, provenance, origine, fontaine, mine (de trésors inépuisable), ressources, terrain en lequel origine qqch",,783
'byung 'gyur ,bhautika,evolutes of the elements (SL MW),"Les choses, les objets  qui viennent des éléments,

Ce qui viendra,
Le devenir,

","objets matériels
miraculeux
qualités secondaires des éléments
le futur (qui reste encore à apparaître)
qui vient des éléments","'byung 'gyur
(TDC) 'byung gyur, 
'byung ba las gyur pa'i dngos po,...
'byung 'gyur, rjes su yong rgyu,...da lta'i bya spyod la bltas nas 'byung 'gyur gyi phan gnod shes yong,...

(IW) what is to arise [material objects, from present activities benefit Y harm]. what is to arise, in the future/ times to come
(RY) evolutes of the elements; Skt bautika. [phenomena] arising from elements [ggd]. [material objects] arisen from elements",784
'byung ba ,"-bhava, -bhu, -ja, -udbhava, udaya, bhūta",elements (SL MW),"Les (cinq) éléments (bases de toutes choses)

Apparaître,
Venir,
Survenir,
Arriver,
Naître,
","les éléments (physiques)
surgir de, apparaître de, venir de, arriver de, jaillir de, émerger de, avoir son origine en, résulter de","'byung ba, 
(TDC)
1.(tha mi dad pa) byung ba, 'byung ba,, 'thob pa dang, yong ba, skye ba, 'bab pa,...zhal mjal gyi go skabs 'byung ba,...las don la skul lcag thebs pa dang, bsam blo layar thon lhan cig tu byung ba,...byas rjes chen po sngar byungma myong ba zhig bzhag pa,...gnas tshul byung nas ma 'gags pa rnams la brtag dpyad byed pa,..
2....1) dngos po thams cad kyi gzhi,...2) (mngon) 'byung ba la sa chu me rlung nam mkha' ste lnga yod pas grangs lnga mtshon,...

'byung ba lnga, 
1) sa chu me rlung nam mkha' dang lnga'o,...
2) lcags dang shing chu me sa dang lnga'o,...

'byung ba chen po, sa chu me rlung rnams te, de dag las 'bras bu'i gzugs rnams 'byung ba dang, rgyur byas pa'i gzugs thams cad kyi rten yin pas brten pa gtos che ba dang, gzugs 'dus pa thams cad la sra ba la sogs pa yod pas khyab pa rgya che ba dang, gnas pa tha gru che bas chen po'o,...
",785
'byung ba med pa ,apravṛtti,,"Non apparu,
",non apparition,,786
"'byed pa 
→ rnam 'byed 
→ rab 'byed ",,,"Analyser,
Différencier,
Discerner,
Diviser,

Analyse,
Différenciation,
","révéler, qui révèle, ouvrir
discernement, (faire une claire) distinction, manière claire et distincte","'byed pa
 (RY) differentiate, discern, discriminate, distinguish [thd]. distinguish, discern, discriminate, differentiate. to open. to distinguish. discriminate between. {'byed pa, phye ba, dbye ba, phyes} trans. v.; 1) to open, open up; uncover. 2) to separate, divide, classify. 3) to reveal; 4) to distinguish, differentiate, analyze, discriminate. Alt. past and imp. of {phye} or {phyed} or {phyes} fut. {dbye} v.n. {'bye ba} 5) analysis, differentiation",787
'byongs pa ,,,"Maîtriser,
Entraîné,
Accompli,

Maîtrise de l’entraînement,
Entraînement acquis, Acquisition d’une dextérité,
","devenir familier avec la pratique, familiarité","'byongs pa 
(JV) mastered
(IW) 1) have been adept/ trained/ skilled/ accomplished/ learned; 2) purged; 3) come/ arrive/ appear/ manifest/ arise; 4) return; 5) attain; 6) go
(RY) pf. of {'byong ba}. developed. byang sems 'byongs pa - to perfect bodhichitta",788
'byor ba ,"bhuti, bhava, saṃpat",,"Arriver,
Atteindre,
S’unir à,
Se réunir à,

Richesses,
Qualités,
","succès, prospérité, perfection, richesse, riche de, dotation, condition favorisée, bonne fortune","'byor ba
(RY) {'byor ba, 'byor ba, 'byor ba} intr. v.; arrive, riches, wealth, favor, endowment, to get, obtain, to adhere, to receive, to be ready, wealth, acquisition, to stick to. {mnga' thang} wealth and power. to acquire, get. advantages; x {khyad par chos 'byor ba bsam pa} reflecting on the particular advantages related to Dharma",789
'bras bu ,"phala, vipāka, kārya",result (SL MW),"Fruit, 
Résultat,
Conséquence,","effet, fruit, conséquence, résultat, but, réalisation finale, (obtention) résultante",,790
'bras bu'i theg pa ,,,Le véhicule du fruit (ou du résultat),"véhicule du résultat, du fruit, de l'effet",,791
'bring ,,,"Médian
Intermédiaire,
Du milieu,","degré médian, moyen, médiocre, médium, intermédiaire",,792
'brel ba ,,,"Connecté,
Lié,
Interconnecté,
Relier,
","connecter, lier, interrelation, relation dépendante, uni, interpénétration, relation, corrélation, influence réciproque, osmose, entretisser, interaction, implication, liaison, relier","'brel ba, 
(TDC)
1.(tha mi dad pa) phan tshun mthud pa 'am brten pa,...sha khrag gcig 'brel,...phan tshun sems dang sems 'brel ba,...lus 'brel ba,...grogs su 'brel ba,...2....1) phan tshun mthud pa'i rgyun cha,...nye 'brel,...mthun 'brel,...'gal'brel,...rgyu 'bras kyi 'brel ba,...dge slob kyi 'brel ba,...blomthun pa'i 'brel ba,...2) tha dad pa'i chos gang las gcig de bkag na chos de dngos su khegs pa, dper na me dang du ba, bum pa dang dngos po lta bu'i tha dad pa'i chos gnyis las tha dad byame dang dngos po ldog na du ba dang bum pa ldog par 'gyur ba ltabu phan tshun ngo bo bdag nyid gcig pa'am rgyu dang 'bras budang, rten dang brten pa'i tshul gyis gnas pa'i chos so,...
",793
sbas pa ,gupta,,Caché,"caché, secret, anonyme, subrepticement, discret, furtif",,794
"sbyang ba 
= sbyong ba ","śodhana, viśuddhyā",,"Purifié,
Nettoyé,

S’être entraîné,
Avoir pratiqué,
Avoir purifié,
Avoir cultivé,","purification, dissoudre, nettoyer, purger
entraînement, apprendre à, culture, cultiver
conquérir, maîtriser",,795
sbyangs pa ,dhūta,,"L’entraînement fait,","l'entraînement vertueux, ascétique",,796
sbyin pa ,"dāna, datta",,"Donner,

Dons,
Générosité","don, générosité, charité, libéralité",,797
"sbyin sreg 
= sbyin sregs ",homa,,"Homa,
Rituel d’offrandes faites dans un feu,
Dons, offrandes, brûlés,
","offrande brûlée, du feu, calcinée",,798
sbyor dngos rjes gsum ,,,"La préparation, le principal et la conclusion,
","la préparation, pratiquer préliminaire,
le sujet principal, actuelle,
et
la conclusion (avec la dédicace)",,799
sbyor ba ,"gaṇa, prayoga",,"S’unir, 
Se réunir,

Approche,
Jonction,
Union,
","appliquer, pratiquer, actualiser, réaliser, application, s'appliquer à, amener à
unir, réunir, joindre, jontion, union, unifier, combiner, connexion, yoga, ensemble
compter sur
union sexuelle, pratiques sexuelles
préparation, entraînement, introduction, préliminaire",,800
sbyor lam ,prayoga mārga,"path of junction (SL BP)
path of preparation (SL MW)","Voie de l’union,
de la jonction, de l’approche.","chemin, voie de l'union, de la jonction, de l'approche",,801
sbrul ,"sarpa, ananta, vyāḍa",,Serpent,serpent (a 7 têtes),,802
Ma ,,,,,,803
ma ,"mata, jananī",,"Mère,
Maman,
Particule exprimant la négation,",mère,celle qui ne souhaite toujours que la prospérité,804
"ma skyes pa 
→ skye med ",ajāta,,"Non né,
Non produit,
Incré,","non né, non produit, incrée, n’est jamais venu à l’existence, n’est jamais né, n’a jamais vu le jour, ne pousse pas, ne devient jamais ce que cela semble être",,805
ma gos pa ,,,"Non souillé,
Non maculé,
Non couvert,
Non habillé,
Immaculé,","n'est pas souillé par, n'est en aucune façon couvert, habillé, voilé, drapé, vêtu, pollué par (l'activité mentale, les concepts, jugements, la crasse des pensées discursives)",,806
ma grub pa ,,,"Non existant,
Ne consistant pas en une nature propre,
Inexistant comme nature propre,
Dépourvu d’être en soi,
Ne consistant pas en quelquechose existant en soi,
Sans être en soi,
Sans caractéristique propre,

","n'a jamais existé, n'existe pas, n'est pas qqch de substantiel, n'a aucune caractéristique, il n'y a rien là en réalité","ma grub pa :
(TDC)
med pa,...rang bzhin gyis ma grub pa,.
rang bzhin gyis ma grub pa : 
rang gi mtshan nyid kyis ma grub pa,...
(RB) to never have existed
(RY) non-existent, does not exist; *, not to be found [if inquired into]",807
"ma 'gags pa 
= ma 'gag pa 
= mi 'gags pa 
= mi 'gag pa 
= 'gags med 
= 'gag med 
= rgyun mi chad ",anirodha,,"Sans obstacle,
Non obstrué,
Inobstrué,
Illimité,
Sans blocage,
Sans résistance,
Sans saisie,
Sans empêchement,
Sans cesse,
","(qualité) non obstrué, inobstrué, libre de, où il n'est pas de, non-, sans entrave, obstacle, obstruction, limite, encombre, blocage, répression, supression, (de tout) empêchement, résistance, qui n'est entravé par rien, (intelligence) illimitée, infinité, inempêché, que rien n'arrête
imbloquable, indéfectible, imbloquablité
incessant, ininterrompu, inépuisable, continuel, qui n'a jamais de fin, sans discontinuer, sans cesse, sans arrêt, apparition incessante, continue(lle)
ne pas supprimer, réprimer, bloquer, refouler, occulter","ma 'gags pa 
(TDC) ma 'gags pa, 
<aaniruddha> sh'a kya thub pa'i nyan thos nye 'khor bcu'i gras lha'i spyan mchog tu gyur pa de'o,...
 (RB) {ma 'gag pa} unceasing; unimpeded
(RY) unconfined, unobstructed, not limited [to any side], unceasing; [anirodha]

Une des trois qualités de la nature de l’esprit :
Thugs rje ma ‘gags pa, les manifestations illimités de l’énergie de bonté libre de toute saisie qu’est l’éveil",808
ma rgyud ,,,"Tantra Mèra,
Tantra féminin,","tantra mère, féminin",,809
ma nges pa ,,,"Incertain, 
Indéfini 
Indéterminé, ","incertain, imprévisible, indéterminé, indéfini",,810
ma gcig ,ekamātra,,Mère unique,mère unique,,811
ma bcos pa ,akṛtrima,,"Non artificiel,
Non fabriqué,
","sans artifice, fabrications, contrainte, machination, interférence, altération, correction, manipulation, modification (apportée), combinaison, non fabriqué, non corrigé, non élaboré, non artifice, non interférence, pas factice, pas artificiel, modifié, (l'état) inaltéré, non adultéré par les artifices, ne nécessitant aucune correction, modification, n'a jamais été altéré, modifié
spontané, état de simplicité, naturel sans altération, brut, écru, authentique, laisser reposer l'esprit au naturel",,812
ma chags pa ,,,"Non attaché,
","non attachement, absence d'attachement",,813
ma dag pa ,aśuddhi,,"Impur,
Non pur,
","impur, impuretés",,814
ma dag sa bdun ,,,"Les sept degrès impurs,","les sept terres, bhūmi, niveaux de bodhisattva impures",,815
ma dad pa ,,,"Non confiance,
Absence de confiance, de foi,
Défiance,
Méfiance,","absence de foi, de confiance
méfiance, défiance",,816
ma 'dres pa ,avenika,,"Non mélange,
Non confusion,
Sans confusion,
Absence de confusion,","sans mélange, confusion, intervention, non confondu, non mêlé, non mitigé, distinct",,817
ma ning ,,,"Neutre,
Androgyne,","neutre, androgyne, eunuque, asexué, de sexe indéterminé",,818
"ma nor ba 
= nor ba med pa ",,,"Non erroné,
Sans erreur,
","sans, libre de toute erreur, faute, défaut, non erroné, pas trompeur
correct, infaillible, indubitable",,819
ma pham pa ,ajita,,"Non vaincu,
Invaincu,
",,,820
ma byas ,,,"Non fait,
Non fabriqué,
","incrée, pas, non fabriqué, non construit, bien que rien ne soit fait",,821
"ma byin pa len pa 
= ma byin len pa ",,,"Prendre ce qui n’est pas donné,
Voler,

","prendre ce qui n'est pas donné, voler",,822
ma mo ,mātṛka,,"Déités féminines mondaines,
Matrice,
Grand-mère,
","grand mère
matrice
ogresse, mégère, goule
déesse","ma mo 
(TDC) 
1) phyi mo,...2) mo lug  ...3) <m'atrika> chos mngon pa,...4) sha za 'byung po'i rigs shig  ...5) lha mo,...
ma mo'i ma, lha mo au ma,...
 
(RY) 
Mamo. Abbreviation of 'Mundane Mother Deities' ('jig rten ma mo). One of the Eight Sadhana Teachings. Female divinities manifested out of dharmadhatu but appearing in ways that correspond to mundane appearances through the interrelationship between the mundane world and the channels, winds, and essences within our body. They have both an ultimate and relative aspect. The chief figure in this mandala is Chemchok Heruka, the wrathful form of Buddha Samantabhadra in the form known as Ngöndzok Gyalpo, the King of True Perfection. 2) A class of semi-divine beings who sometimes act as protectors of the Dharma. Matari. mamo, mother goddesses, mother deities. sky-traveling preta-demon/ a ewe who has given birth; Mother deities; Mamos, wrathful dakinis 2) grandmother",823
ma rmos pa'i lo tog ,,,"La céréale qui pousse sans labeur,","ce qui germe sans avoir été cultivé 
céréale d'abondance
le maïs",,824
ma yin dgag ,,,"Négation affirmative,
",négation affirmative,La négation affirmative tout en niant affirme (l’absence de) ce qu’elle nie.,825
"ma g.yeng ba 
= g.yeng med 
= g.yeng ba med pa ",,,"Sans distraction,
Sans s’en distraire,","absence de, sans, libre de, non distraction, dispersion, agitation, d'éparpillement, ne pas être distrait, imperturbable, indéfectible, inébranlable",,826
ma rig pa ,avidyā,"ignorance (SL BP)

unawareness (SL MW)","Ignorance,
Nescience,
Non gnose,
","ignorance (initiale, primordiale), néscience, non connaissance, inconnaissance, absence de, non reconnaissance de l'esprit éveillé, de la véritable nature de l'esprit, de la conscience éveillée, non éveil",,827
ma lus pa ,aśeṣa,,"Sans exception,
Sans en laisser,","la totalité, sans exception, sans en oulier, omettre un seul, sans en laisser derrière, tous",,828
mang thos ,,,"Erudit,
Savant,
« Qui a beaucoup étudié »","érudit, savant",,829
man ngag ,"upadeśa, āmnāya",,"Instructions orales,
Instructions spéciales,
Upadesha,
","instructions, prescription, enseignement, préceptes, transmission, conseils essentielles, orales, cruciales, définitives, particuliers, directes, personnels, profonds, de fond, de pratique, courts, spéciaux, extraordinaires, ésotériques, secrets, conseils, recommandations, points cruciaux de la pratique, préceptes spéciaux qui ont l'avantage de montrer directement)",,830
maNDal ,maṇḍala,,"Mandala,
Structure (centre et périphérie)","maṇḍala, structure d'éveil, diagramme symbolique",,831
mar me ,,,"Lampe à beurre,","lampe à beurre, huile, flamme, bougie, chandelle, cierge",,832
mi ,manuśya,,"Humain,
Homme,","(êtres) humains, hommes, homo sapiens",,833
mi bskyod pa ,akṣobhya,,"Akshobya,
Immuable,
Inébranlable,","immuable, inébranlable, imperturbable, immobile",,834
"mi khom pa 
= mi khoms pa ",akṣaṇa,,"Absence de loisir,
Manque de liberté,","(état) sans (le) loisir (de), la disponibilité, possibilité pour",,835
mi 'khrugs pa ,acalā,,"Imperturbable,
Inébranlable,","libre de perturbations, de conflits, non troublé, sans agitation, impassible, en l'état",,836
mi dge ba ,akuśala,,"Non vertu,
Négativité,
Nuisance,
","non vertu, négativité, non vertueux, attitude négative, actions, qualités, habitudes, choses négatives, non vertueuses, nuisibles, déméritoires, néfastes",,837
mi dgos ,,,"Inutile,
Pas nécessaire,","pas nécessaire, il n'y a jamais de possibilité de",,838
"mi 'gyur ba 
→ 'gyur ba med pa ",,,"Immuable,
Immobile,
Sans changement,
","immuable, stable, immobile, invariable, immutabilité, immuabilité, immutable éternel, inchangeant, inchangeable, qui ne change pas, sans changement, inaltérable, inchangé, invariant",,839
"mi 'jig pa 
= mi zhig pa ",,,"Indestructible,
","indestructible, impérissable, pas sujet à la destruction, à la pourriture, putréfaction, pourrissement, détérioration, dégradation, dégénérescence, décomposition",,840
mi 'jigs pa ,,,"Non peur,
Intrépidité,
Absence de peur,","intrépidité, sans, absence de peur, crainte",,841
mi mjed 'jig rten ,sahaloka ?,,"Monde de la non peur, de l’intrépidité (de pratiquer le Dharma),

","univers, monde sans peur, sans crainte, univers saha","mi mjed,
 (TDC) 
<sah'a> mi skrag pa'am zhed snang med pa,...
mi mjed 'jig rten, chos sgrub par mi 'jigs pa'am, zhed mi dgos pa'i 'jig rten te lho 'dzam bu gling,...
(RY) Saha; Saha world-system; patient endurance, unforgotten, fortitude [Syn {sran bzod pa}. endurance, sufferance, tolerance, forbearance, patience.
 
Le monde en lequel on a l'intrépidité de pratiquer le Dharma (GCLAvr93)",842
mi 'jigs pa sbyin pa ,,,"Le don de la non peur,
Le don de la protection,",le don de protection (contre la peur),,843
mi rtag pa ,anitya,,"Impermanence,
Evanescence,
Impermanent,
Ephémére,
Evanescent,
Transitoire,
Non durable,","impermanence, éphémère, instabilité, transitoire, impermanent, évanescent, passager",,844
mi rtog pa ,nirvikalpa,,"Non conception,
Non pensée,
","l'absence de, état libre de, non, sans discursivité, (toutes) pensées (discursives), idées, concepts, conception, ne pas conceptualiser, non pensée, non conceptuel, non conceptualisation, ce qui ne peut être pensé",,845
mi rtog pa'i ye shes ,,,"La gnose de la non conception,
La gnose de la non pensée,
L’expérience primordiale aconcepetuelle,",la connaissance primordiale non conceptuelle,,846
mi 'dod pa ,,,"Indésirable,
Non souhaité,","indésirable, désagréable, déplaisant, non souhaité, indésiré",,847
"mi gnas pa'i myang 'das 
= mi gnas pa'i mya ngan las 'das pa ",apratisthitanirvāṇa,,"Nirvana sans demeure,","nirvāṇa sans demeure, non localisé, qui ne demeure nulle part, dans aucun extrême",état de bouddha dans la tradition mahāyāna,848
mi phyed ,,,"Sans partage,
Entier,
Non partagé,","indivisible, entier",,849
mi zhig pa'i thig le ,,,"Bindou indestrctible,","goutte, grain indestructible, principiel, bindu",,850
"mi zad pa 
= zad mi shes pa ",akṣaya,,"Inépuisable,
","inépuisable, incessant, sans fin",,851
mi g.yo ba ,"acalā, stimita",unwavering (SL MW),"Immuable,
Immobile,
Innébranlable,","immuable, immobile, qui ne bouge pas, inébranlable, indéfectible, imperturbable, que rien ne peut ébranler, non troublé, sans vaciller, inflexible, statique, à toute épreuve, sans se laisser détourner",,852
mi g.yo ba'i sa ,,,"Le niveau immuable,",la terre immuable,,853
mi srid pa ,,,"Impossible,
Qui ne peut être,","impossible, qui ne peut pas, ne saurait advenir, sans avoir la possibilité de, ne pourraient, sauraient raisonnablement",,854
mi slob pa'i lam ,aśaikṣamārga,path beyong training (SL BP),"La voie de la non étude,","sentier, chemin au-delà de l'étude, de la non étude, où il n'y a, il n'est plus rien à apprendre, au-delà de la méditation, de la perfection",,855
mi bslu ba ,,undeceiving (SL BP),"Innéluctable,
Infaillible,
","infaillible, non trompeur, non décevant, authentique, véritable, sûr, certain, qui n'induit pas en erreur, indubitable, véridique, inaliénable, sans se tromper sur
inévitable, inéluctable, inexorable, inéchapable",,856
mig ,cakṣuḥ,,"Œil,","œil, yeux, mirettes",,857
"mig 'phrul 
= mig yor = smig rgyu ",,,"Illusion occulaire,
Illusion visuelle,","illusion d'optique, visuelle, mirage, hallucination, la berlu, voir double, des éléphants roses, trouble visuel, dédoublement optique, vue embrumée, anthélie",au moment du crépuscule l'on a l'impression de voir des choses bien qu'elles ne soient pas là,858
ming ,nāma,,"Nom,
","nom, appellation, désignation, dénomination, titre, terme, terminologie, substantif, étiquette",,859
ming gzugs ,nāma rūpa,,"Nama rupa,
Nom et forme,","le nom (le côté essentiel) et la forme (le côté substantiel)
la personnalité",,860
mu khyud 'dzin ,,,,,nom d'une des sept montagnes d'or,861
mu stegs pa ,tīrthika,"tirthika (« forder ») (SL BP)

non-Buddhist (SL MW)","Hérétique,
Non bouddhiste,","non bouddhistes, hérétiques, extrémistes, éternalistes, impies
mur stug pa : nihilistes",,862
"mu bzhi
 = mtha' bzhi ","caturanta, catuṣkoṭi",,"Les quatre déterminations (ou extrêmes),","les 4 extrêmes, limites (pointues), alternatives",,863
mun bskal ,,,"Kalpa obsure,","âge, période, ère sombre, obscure",,864
mun pa ,tamas,,"Obsurité,","obscurité, ténèbres, sombre, brouillard, brumes, pénombre, noirceur, nuit noire",,865
me ,teja,,Feu,(l'élément) feu,,866
me tog ,"puṣpa, kusuma",,Fleur,fleur,,867
me long lta bu'i ye shes ,ādarśajñāna,mirror-like pristine awareness (SL MW),"Gnose semblable au mirroir,",sagesse semblable au miroir,"me long lta bu'i ye shes 
(RY) Mirror-like wisdom. One of the five wisdoms. The transmutation of anger. *. mirror-like pristine awareness; Mirror like awareness, 
Def. by Jamgön Kongtrül: {gsal stod 'char gzhi tshul ye shes kun gyi 'byung gnas yin me long dag pa'i ngos lta bu} 

déf. → NA p299",868
med dgag ,,nonimplicative negation (SL BP),"Négation directe, non affirmative,","négation non affirmative, directe, finale, absolue",,869
med pa ,"abhāvanaṃ, varjitāḥ",,"Non existence,
Ne pas être,
Ne pas avoir,
","n'est pas, sans, aucun, dépourvu de, n'existe pas, non-, in-, vierge de, libre de, dénué de, manquant de, il n'y a pas, n'impliquant pas de, n'entraîne pas de, n'est pas une affaire de, privé de, en absence de, il n'y a rien de tel que
non être, non existence, non existant, néant, rien, nihilisme, (ce qui est) ineffable, irréel, dépourvu de réalité, n'est pas la question, non réalité, absence d'existence, qui n'a rien à voir avec",,870
med bzhin snang ba = med pa gsal snang ,,nonexistents vividly appearing (SL BP),"Apparaissant bien que n’étant pas,
Apparaître sans exister,
Apparaître sans être,","apparaître sans être, apparent bien qu'inexistant, apparitions qui n'existent pas en réalité, ne sont rien pourtant apparaissent, apparaît sans même exister, apparent bien que n'étant rien de tel, qui apparaît mais n'existe pas, laisser être présent ce qui n'est rien, (manifestation) clairement apparente et pourtant, néanmoins ineffable, être là et pourtant n'être rien, (clairement) apparent bien que n'étant rien de tel, en soi, une présence erronée, le paradoxe du fait qu'il n'y ait rien et qu'il y ait pourtant (bien) une présence, apparaissant mais inexistants en eux-mêmes, manifeste bien que n'étant rien en soi, bien qu'ils apparaissent, il n'y a rien en réalité, choses qui ne sont pas là en réalité",,871
mo ,,,Divination,", observation, consulter les présages, observer la conjoncture, prendre les augures",,872
mos gus ,,,"Dévotion,
Respect et aspiration,
","dévotion, (inspiration et) respect, admiration, vénération (fervente), hommage avec notre esprit","• la dévotion continuelle : l'auto déploiement de la nature de l'esprit, libre d'aucune complexité
• avoir confiance dans les paroles du maître ainsi qu'en la manière qu'a ce dernier de nous guider
• la vision pure de ce qu'est le maître dans son essence : le représentant vivant de l'enseignement, l'incarnation des bouddhas du passé, du présent et du futur, sans qui le Dharma serait lettre morte",873
mos pa ,"adhimukti, adhimokṣa",,"Aspiration,","confiance, aspiration, souhaiter qqch, considérer, désirer, détermination, inspiration, respect, dévotion, appréciation, admiration, intérêt, conviction, croyance",,874
mya ngan ,vāṇa,,"Mal-être,
Souffrance,","mal-être, affliction, tristesse, souffrance, misère morale",,875
mya ngan las 'das pa = myang 'das ,nirvāṇa,perfect peace (SL MW),"Au-delà de la souffrance, 
Nirvana,","l'au-delà, l'extinction, la cessation, l'évasion, la transcendance, l'épuisement, l'état, passer au-delà du mal-être, de la souffrance, des peines, de la misère, du chagrin, de la douleur (du saṃsāra)
mourir
quiétude, paix, appaisement, sérénité
yongs su mya ngan las 'das pa : parinirvāṇa",,876
myu gu ,aṅkuśa,,"Pousse,","jeunes pousses, germes, bourgeons
roseau, canne de jonc
plantain, arbre kirana
relations par le sang",,877
myur du ,,,"Vite, 
Rapidement,","vite, rapidement, fissa, vitesse, vélocité, rapidité, se dépêcher, prompt, véloce, preste, express, presto",,878
